"","subject","TrialNumber","gestures","target","corrAns","condition","gestureSet","ran","order","RT","answer","correct"
"1","D01",1,"gestures/frog_S.mp4","fo_t","o","G","frog",1,0,2.7896488,"o",TRUE
"2","D01",2,"gestures/baby_S.mp4","sm_le","i","G","baby",1,1,1.2269098,"i",TRUE
"3","D01",3,"gestures/baby_S.mp4","bl_nket","a","G","baby",1,2,1.2208983,"a",TRUE
"4","D01",4,"gestures/dog_S.mp4","n_ck","e","G","dog",1,3,1.4984998,"e",TRUE
"5","D01",5,"gestures/horse_S.mp4","w_lk","a","G","horse",1,4,1.1268626,"a",TRUE
"6","D01",6,"gestures/horse_S.mp4","h_ad","e","G","horse",1,5,1.2198044,"e",TRUE
"7","D01",7,"gestures/boy_S.mp4","w_ve","a","G","boy",1,6,1.081438,"a",TRUE
"8","D01",8,"gestures/boy_S.mp4","po_nt","i","G","boy",1,7,1.2867116,"i",TRUE
"9","D01",9,"gestures/cat_S.mp4","ta_l","i","G","cat",1,8,1.0749612,"i",TRUE
"10","D01",10,"gestures/car_S.mp4","m_ve","o","G","car",1,9,1.1028485,"o",TRUE
"11","D01",11,"gestures/frog_S.mp4","j_mp","u","G","frog",1,10,1.281274,"u",TRUE
"12","D01",12,"gestures/boy_S.mp4","t-sh_rt","i","G","boy",1,11,1.2502309,"i",TRUE
"13","D01",13,"gestures/dog_S.mp4","pl_y","a","G","dog",1,12,1.1276661,"a",TRUE
"14","D01",14,"gestures/girl_S.mp4","wh_stle","i","G","girl",1,13,1.0324271,"i",TRUE
"15","D01",15,"gestures/girl_S.mp4","ha_r","i","G","girl",1,14,1.0233514,"i",TRUE
"16","D01",16,"gestures/frog_S.mp4","list_n","e","G","frog",1,15,1.465252,"e",TRUE
"17","D01",17,"gestures/baby_S.mp4","cr_wl","a","G","baby",1,16,1.8096809,"a",TRUE
"18","D01",18,"gestures/cat_S.mp4","lo_k","o","G","cat",1,17,1.0903044,"o",TRUE
"19","D01",19,"gestures/girl_S.mp4","dr_ss","e","G","girl",1,18,0.966125,"e",TRUE
"20","D01",20,"gestures/baby_S.mp4","t_ddy","e","G","baby",1,19,1.2543255,"e",TRUE
"21","D01",21,"gestures/cat_S.mp4","sl_ep","e","G","cat",1,20,0.9587782,"e",TRUE
"22","D01",22,"gestures/frog_S.mp4","tong_e","u","G","frog",1,21,1.37896,"u",TRUE
"23","D01",23,"gestures/horse_S.mp4","mo_th","u","G","horse",1,22,2.814071,"u",TRUE
"24","D01",24,"gestures/boy_S.mp4","bo_k","o","G","boy",1,23,1.0629095,"o",TRUE
