subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
A15,1,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,0.0,1.8211184,o,True
A15,2,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,1.0,1.7155373,a,True
A15,3,gestures/car_PL.mp4,m_ve,o,S,car,1.0,2.0,1.4852145,o,True
A15,4,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,3.0,1.4015667,a,True
A15,5,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,4.0,1.559297,o,True
A15,6,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,5.0,1.9332104,a,False
A15,7,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,6.0,1.8978913,i,True
A15,8,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,7.0,2.0749607,u,True
A15,9,gestures/car_POS.mp4,wind_w,o,S,car,1.0,8.0,1.5017177,o,True
A15,10,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,9.0,1.802857,o,True
A15,11,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,10.0,1.342331,a,True
A15,12,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,11.0,2.6608682,a,True
A15,13,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,12.0,1.323906,a,False
A15,14,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,13.0,2.5949557,e,True
A15,15,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,14.0,1.4554316,a,True
A15,16,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,15.0,1.4807714,i,True
A15,17,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,16.0,1.7559372,i,True
A15,18,gestures/car_POS.mp4,whe_l,e,S,car,1.0,17.0,2.0382361,e,True
A15,19,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,18.0,11.014557,i,True
A15,20,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,19.0,1.5674272,i,True
A15,21,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,20.0,1.34619,a,True
A15,22,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,21.0,1.5043906,a,True
A15,23,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,22.0,1.5775082,e,True
A15,24,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,23.0,2.8877854,u,True
A15,25,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,24.0,2.2846513,u,True
A15,26,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,25.0,1.3968703,o,True
A15,27,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,26.0,1.9586724,u,True
A15,28,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,27.0,1.9115688,i,True
A15,29,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,28.0,3.200624,e,True
A15,30,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,29.0,1.5754685,i,True
A15,31,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,30.0,3.0811207,e,True
