subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
A19B,1,gestures/car_S.mp4,cr_sh,a,G,car,1.0,0.0,1.4681816,a,True
A19B,2,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,1.0,1.0339347,a,True
A19B,3,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,2.0,1.1155323,a,True
A19B,4,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,3.0,1.3211138,o,True
A19B,5,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,4.0,1.2494689,e,True
A19B,6,gestures/frog_S.mp4,list_n,e,G,frog,1.0,5.0,1.2920862,e,True
A19B,7,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,6.0,2.7513068,i,True
A19B,8,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,7.0,1.7771016,i,True
A19B,9,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,8.0,1.3281007,a,True
A19B,10,gestures/cat_S.mp4,n_se,o,G,cat,1.0,9.0,1.2291476,o,True
A19B,11,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,10.0,1.514399,u,True
A19B,12,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,11.0,2.5770042,o,True
A19B,13,gestures/car_S.mp4,m_ve,o,G,car,1.0,12.0,1.5134317,o,True
A19B,14,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,13.0,1.2489247,e,True
A19B,15,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,14.0,1.9184523,i,True
A19B,16,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,15.0,1.0477316,i,True
A19B,17,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,16.0,1.4936103,o,True
A19B,18,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,17.0,1.3684418,i,True
A19B,19,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,18.0,1.207225,i,True
A19B,20,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,19.0,1.4771307,i,True
A19B,21,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,20.0,1.5671976,o,False
A19B,22,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,21.0,1.2932249,a,True
A19B,23,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,22.0,1.329954,u,True
A19B,24,gestures/girl_S.mp4,h_g,u,G,girl,1.0,23.0,1.0936123,u,True
A19B,25,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,24.0,1.2723827,e,True
A19B,26,gestures/car_S.mp4,wind_w,o,G,car,1.0,25.0,1.6626892,o,True
A19B,27,gestures/car_S.mp4,whe_l,e,G,car,1.0,26.0,1.7205943,e,True
A19B,28,gestures/dog_S.mp4,to_th,o,G,dog,1.0,27.0,1.5495543,u,False
A19B,29,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,28.0,1.2139194,e,True
A19B,30,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,29.0,1.4648902,u,True
A19B,31,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,30.0,1.2969776,e,True
A19B,32,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,31.0,1.1250889,a,True
A19B,33,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,32.0,1.1571367,a,True
A19B,34,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,33.0,1.2438183,i,True
A19B,35,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,34.0,1.1798949,u,True
A19B,36,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,35.0,1.2127379,u,True
A19B,37,gestures/car_POS.mp4,wind_w,o,S,car,1.0,36.0,1.3313961,o,True
A19B,38,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,37.0,1.0241119,a,True
A19B,39,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,38.0,1.0191559,e,True
A19B,40,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,39.0,1.293952,o,True
A19B,41,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,40.0,1.1750618,i,True
A19B,42,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,41.0,0.97577906,e,True
A19B,43,gestures/car_POS.mp4,whe_l,e,S,car,1.0,42.0,1.1313702,e,True
A19B,44,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,43.0,1.1512413,u,True
A19B,45,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,44.0,1.3300675,o,True
A19B,46,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,45.0,1.0353761,e,True
A19B,47,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,46.0,1.1424652,a,True
A19B,48,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,47.0,1.34367,o,True
A19B,49,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,48.0,1.2851424,e,True
A19B,50,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,49.0,1.5700237,i,True
A19B,51,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,50.0,1.040083,a,True
A19B,52,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,51.0,1.0658588,e,True
A19B,53,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,52.0,0.8875637,a,True
A19B,54,gestures/car_PL.mp4,m_ve,o,S,car,1.0,53.0,1.5851008,a,False
A19B,55,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,54.0,1.2811385,o,True
A19B,56,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,55.0,0.9693385,a,True
A19B,57,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,56.0,1.3691051,i,True
A19B,58,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,57.0,1.126725,i,True
A19B,59,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,58.0,1.124739,i,True
A19B,60,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,59.0,1.641101,a,True
A19B,61,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,60.0,1.0897676,i,True
A19B,62,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,61.0,1.2554508,o,True
A19B,63,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,62.0,1.5577546,u,True
A19B,64,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,63.0,2.245736,e,True
