subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
B19,1,gestures/car_S.mp4,cr_sh,a,G,car,1,0,1.4681816,a,True
B19,2,gestures/dog_S.mp4,b_rk,a,G,dog,1,1,1.0339347,a,True
B19,3,gestures/dog_S.mp4,pl_y,a,G,dog,1,2,1.1155323,a,True
B19,4,gestures/boy_S.mp4,bo_k,o,G,boy,1,3,1.3211138,o,True
B19,5,gestures/cat_S.mp4,sl_ep,e,G,cat,1,4,1.2494689,e,True
B19,6,gestures/frog_S.mp4,list_n,e,G,frog,1,5,1.2920862,e,True
B19,7,gestures/cat_S.mp4,ta_l,i,G,cat,1,6,2.7513068,i,True
B19,8,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1,7,1.7771016,i,True
B19,9,gestures/baby_S.mp4,bl_nket,a,G,baby,1,8,1.3281007,a,True
B19,10,gestures/cat_S.mp4,n_se,o,G,cat,1,9,1.2291476,o,True
B19,11,gestures/horse_S.mp4,mo_th,u,G,horse,1,10,1.514399,u,True
B19,12,gestures/frog_S.mp4,fo_t,o,G,frog,1,11,2.5770042,o,True
B19,13,gestures/car_S.mp4,m_ve,o,G,car,1,12,1.5134317,o,True
B19,14,gestures/girl_S.mp4,dr_ss,e,G,girl,1,13,1.2489247,e,True
B19,15,gestures/girl_S.mp4,wh_stle,i,G,girl,1,14,1.9184523,i,True
B19,16,gestures/boy_S.mp4,po_nt,i,G,boy,1,15,1.0477316,i,True
B19,17,gestures/cat_S.mp4,lo_k,o,G,cat,1,16,1.4936103,o,True
B19,18,gestures/horse_S.mp4,k_ck,i,G,horse,1,17,1.3684418,i,True
B19,19,gestures/girl_S.mp4,ha_r,i,G,girl,1,18,1.207225,i,True
B19,20,gestures/baby_S.mp4,sm_le,i,G,baby,1,19,1.4771307,i,True
B19,21,gestures/boy_S.mp4,w_ve,a,G,boy,1,20,1.5671976,o,False
B19,22,gestures/horse_S.mp4,w_lk,a,G,horse,1,21,1.2932249,a,True
B19,23,gestures/frog_S.mp4,j_mp,u,G,frog,1,22,1.329954,u,True
B19,24,gestures/girl_S.mp4,h_g,u,G,girl,1,23,1.0936123,u,True
B19,25,gestures/baby_S.mp4,t_ddy,e,G,baby,1,24,1.2723827,e,True
