subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
H17,1,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,0.0,1.6655337,e,True
H17,2,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,1.0,3.6640704,e,True
H17,3,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,2.0,1.8301219,o,True
H17,4,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,3.0,1.6701332,a,True
H17,5,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,4.0,2.0702896,e,True
H17,6,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,5.0,1.951975,a,True
H17,7,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,6.0,1.6728361,e,True
H17,8,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,7.0,15.449025,i,True
H17,9,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,8.0,1.4718679,o,True
H17,10,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,9.0,1.5681698,u,True
H17,11,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,10.0,3.0411446,i,True
H17,12,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,11.0,1.7934777,e,True
H17,13,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,12.0,1.4168041,a,True
H17,14,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,13.0,1.503747,i,True
H17,15,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,14.0,1.3711581,o,True
H17,16,gestures/car_POS.mp4,wind_w,o,S,car,1.0,15.0,1.3134665,o,True
H17,17,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,16.0,1.448077,o,True
H17,18,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,17.0,1.5643445,i,True
H17,19,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,18.0,1.3150676,o,False
H17,20,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,19.0,1.5321847,a,True
H17,21,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,20.0,1.3434783,i,True
H17,22,gestures/car_POS.mp4,whe_l,e,S,car,1.0,21.0,1.9367534,e,True
H17,23,gestures/car_PL.mp4,m_ve,o,S,car,1.0,22.0,1.4074706,o,True
H17,24,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,23.0,1.4543077,u,True
H17,25,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,24.0,5.2503047,u,False
H17,26,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,25.0,1.5245091,i,True
H17,27,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,26.0,1.480119,a,True
H17,28,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,27.0,1.9449272,u,True
H17,29,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,28.0,2.2515903,a,True
H17,30,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,29.0,1.57157,o,True
H17,31,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,30.0,1.4529847,i,True
H17,32,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,31.0,2.293378,e,True
H17,33,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,32.0,2.4627407,o,False
H17,34,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,33.0,1.1609852,a,True
H17,35,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,34.0,1.4336096,e,True
H17,36,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,35.0,1.2607863,a,True
H17,37,gestures/car_S.mp4,cr_sh,a,G,car,1.0,36.0,1.250641,a,True
H17,38,gestures/cat_S.mp4,n_se,o,G,cat,1.0,37.0,1.335994,o,True
H17,39,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,38.0,1.2292883,i,True
H17,40,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,39.0,1.1459931,i,True
H17,41,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,40.0,1.0454017,e,True
H17,42,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,41.0,1.145894,a,True
H17,43,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,42.0,1.2983775,i,True
H17,44,gestures/car_S.mp4,m_ve,o,G,car,1.0,43.0,1.5702354,o,True
H17,45,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,44.0,1.2776155,e,True
H17,46,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,45.0,1.1239642,o,True
H17,47,gestures/car_S.mp4,wind_w,o,G,car,1.0,46.0,1.1235918,o,True
H17,48,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,47.0,1.2525419,a,True
H17,49,gestures/car_S.mp4,whe_l,e,G,car,1.0,48.0,1.148661,e,True
H17,50,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,49.0,3.3282814,e,True
H17,51,gestures/dog_S.mp4,to_th,o,G,dog,1.0,50.0,1.0935484,o,True
