subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
I42,1,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,0.0,2.4740505,i,True
I42,2,gestures/car_S.mp4,cr_sh,a,G,car,1.0,1.0,1.5271629,a,True
I42,3,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,2.0,1.5122322,a,True
I42,4,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,3.0,1.8773454,i,True
I42,5,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,4.0,1.6388893,i,True
I42,6,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,5.0,6.227633,e,False
I42,7,gestures/car_S.mp4,wind_w,o,G,car,1.0,6.0,2.8306112,o,True
I42,8,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,7.0,1.7824516,u,True
I42,9,gestures/car_S.mp4,whe_l,e,G,car,1.0,8.0,3.5221171,e,True
I42,10,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,9.0,1.5157187,e,True
I42,11,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,10.0,2.9743307,o,False
I42,12,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,11.0,4.7802534,o,True
I42,13,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,12.0,1.6307913,i,True
I42,14,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,13.0,2.1632915,i,True
I42,15,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,14.0,2.0932322,e,False
I42,16,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,15.0,1.9125828,i,True
I42,17,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,16.0,2.6285503,a,True
I42,18,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,17.0,1.8611071,i,True
I42,19,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,18.0,2.188689,o,False
I42,20,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,19.0,2.1310213,e,True
I42,21,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,20.0,2.153341,e,True
