subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
M40,1,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,0.0,1.9364953,i,True
M40,2,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,1.0,16.649595,e,True
M40,3,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,2.0,1.3409995,e,True
M40,4,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,3.0,1.2401212,i,True
M40,5,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,4.0,1.4823444,o,True
M40,6,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,5.0,2.449845,a,True
M40,7,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,6.0,1.2843343,e,True
M40,8,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,7.0,1.3537376,a,True
M40,9,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,8.0,3.5476818,o,False
M40,10,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,9.0,1.2733092,a,True
M40,11,gestures/car_POS.mp4,whe_l,e,S,car,1.0,10.0,1.3916194,e,True
M40,12,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,11.0,1.7348931,i,True
M40,13,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,12.0,1.2000424,o,True
M40,14,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,13.0,1.8074434,i,True
M40,15,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,14.0,1.6343489,u,True
M40,16,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,15.0,2.0383391,i,True
M40,17,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,16.0,1.651432,e,True
M40,18,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,17.0,1.7415241,u,True
M40,19,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,18.0,2.4166286,u,True
M40,20,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,19.0,1.1860945,o,True
M40,21,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,20.0,1.3253422,a,True
M40,22,gestures/car_PL.mp4,m_ve,o,S,car,1.0,21.0,1.1208478,o,True
M40,23,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,22.0,1.0854732,i,True
M40,24,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,23.0,1.452169,e,True
M40,25,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,24.0,1.1711154,a,True
M40,26,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,25.0,1.2943567,i,True
M40,27,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,26.0,1.1539401,u,True
M40,28,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,27.0,1.2392138,e,True
M40,29,gestures/car_POS.mp4,wind_w,o,S,car,1.0,28.0,1.4459078,o,True
M40,30,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,29.0,1.1996194,o,True
M40,31,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,30.0,1.5556952,a,True
M40,32,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,31.0,1.2506589,o,True
M40,33,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,32.0,1.274041,u,True
M40,34,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,33.0,1.0185231,i,True
M40,35,gestures/dog_S.mp4,to_th,o,G,dog,1.0,34.0,1.050502,o,True
M40,36,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,35.0,1.4655081,a,True
M40,37,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,36.0,1.1948754,a,True
M40,38,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,37.0,2.0836508,i,True
M40,39,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,38.0,1.4496806,u,True
M40,40,gestures/cat_S.mp4,n_se,o,G,cat,1.0,39.0,1.0763222,o,True
M40,41,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,40.0,1.1491268,e,True
M40,42,gestures/car_S.mp4,wind_w,o,G,car,1.0,41.0,1.389376,o,True
M40,43,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,42.0,1.3173689,e,True
M40,44,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,43.0,1.2848972,e,True
M40,45,gestures/car_S.mp4,cr_sh,a,G,car,1.0,44.0,1.2920263,a,True
M40,46,gestures/girl_S.mp4,h_g,u,G,girl,1.0,45.0,1.3024474,u,True
M40,47,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,46.0,1.3263757,i,True
M40,48,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,47.0,1.1345927,o,True
M40,49,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,48.0,1.2649825,a,True
M40,50,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,49.0,1.1549921,o,True
M40,51,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,50.0,1.4198501,o,True
M40,52,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,51.0,1.2069156,i,True
M40,53,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,52.0,1.31622,i,True
M40,54,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,53.0,1.4062822,i,True
M40,55,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,54.0,1.2510972,a,True
