subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
N49,1,gestures/car_POS.mp4,whe_l,e,S,car,1.0,0.0,0.93494403,e,True
N49,2,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,1.0,0.679551,a,True
N49,3,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,2.0,0.7094635,i,True
N49,4,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,3.0,0.6760067,i,True
N49,5,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,4.0,0.86982864,u,True
N49,6,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,5.0,0.778707,i,True
N49,7,gestures/car_POS.mp4,wind_w,o,S,car,1.0,6.0,1.3767507,i,False
N49,8,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,7.0,0.9944775,i,True
N49,9,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,8.0,0.7933429,e,True
N49,10,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,9.0,0.81697255,o,True
N49,11,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,10.0,0.69590837,a,True
N49,12,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,11.0,0.74697435,o,True
N49,13,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,12.0,0.8760943,e,True
N49,14,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,13.0,0.8469214,o,True
N49,15,gestures/car_PL.mp4,m_ve,o,S,car,1.0,14.0,0.7724587,o,True
N49,16,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,15.0,0.8470153,u,True
N49,17,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,16.0,0.92576814,u,True
N49,18,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,17.0,0.8660151,i,False
N49,19,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,18.0,0.9881971,i,True
N49,20,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,19.0,0.7656008,a,True
N49,21,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,20.0,0.9581011,e,True
N49,22,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,21.0,0.7205652,a,True
N49,23,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,22.0,0.6982323,a,True
N49,24,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,23.0,0.62874144,a,True
N49,25,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,24.0,0.8013439,i,True
N49,26,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,25.0,0.63811725,a,True
N49,27,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,26.0,0.8682712,o,True
N49,28,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,27.0,0.8646322,u,True
N49,29,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,28.0,0.7046288,e,True
N49,30,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,29.0,0.88815564,i,True
N49,31,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,30.0,0.71081203,o,True
N49,32,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,31.0,0.6639794,e,True
N49,33,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,32.0,0.80154556,i,True
N49,34,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,33.0,0.8947965,i,True
N49,35,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,34.0,0.90293735,u,True
N49,36,gestures/car_S.mp4,wind_w,o,G,car,1.0,35.0,2.0837069,o,True
N49,37,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,36.0,0.96997297,e,True
N49,38,gestures/frog_S.mp4,list_n,e,G,frog,1.0,37.0,1.3115802,e,True
N49,39,gestures/girl_S.mp4,h_g,u,G,girl,1.0,38.0,0.9471626,u,True
N49,40,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,39.0,0.82270193,a,True
N49,41,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,40.0,0.79848903,i,True
N49,42,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,41.0,0.7613544,a,True
N49,43,gestures/dog_S.mp4,to_th,o,G,dog,1.0,42.0,0.8735435,o,True
N49,44,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,43.0,0.7277218,a,True
N49,45,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,44.0,0.7141898,a,True
N49,46,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,45.0,0.7478335,i,True
N49,47,gestures/car_S.mp4,m_ve,o,G,car,1.0,46.0,0.851361,o,True
N49,48,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,47.0,0.84203595,i,True
N49,49,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,48.0,0.7485761,e,True
N49,50,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,49.0,0.7832549,i,True
N49,51,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,50.0,0.9139743,i,True
N49,52,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,51.0,0.7119589,o,True
