subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
O34,1,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,0.0,2.9308078,e,True
O34,2,gestures/car_POS.mp4,whe_l,e,S,car,1.0,1.0,2.2052863,e,True
O34,3,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,2.0,1.8695722,i,True
O34,4,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,3.0,1.4376867,o,True
O34,5,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,4.0,2.550605,a,True
O34,6,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,5.0,1.4220358,o,True
O34,7,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,6.0,1.399179,i,True
O34,8,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,7.0,2.2738419,e,True
O34,9,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,8.0,1.4464809,i,True
O34,10,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,9.0,1.4465374,e,True
O34,11,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,10.0,1.3356283,a,True
O34,12,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,11.0,1.4496733,a,True
O34,13,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,12.0,1.3480153,i,True
O34,14,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,13.0,1.4319987,a,True
O34,15,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,14.0,1.2281867,a,True
O34,16,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,15.0,1.3207773,o,True
O34,17,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,16.0,45.460247,i,False
O34,18,gestures/car_PL.mp4,m_ve,o,S,car,1.0,17.0,1.4001622,o,True
O34,19,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,18.0,1.3858224,a,True
O34,20,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,19.0,1.3444283,e,True
O34,21,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,20.0,1.3238244,a,True
O34,22,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,21.0,1.9634864,i,True
O34,23,gestures/car_POS.mp4,wind_w,o,S,car,1.0,22.0,2.3380184,o,True
O34,24,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,23.0,2.0658982,u,True
O34,25,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,24.0,6.430236,i,True
O34,26,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,25.0,1.6412098,u,True
O34,27,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,26.0,1.3110601,i,True
O34,28,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,27.0,2.4298127,u,True
O34,29,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,28.0,2.2822227,o,True
O34,30,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,29.0,2.5030043,o,True
O34,31,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,30.0,1.396602,u,True
O34,32,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,31.0,1.9044172,e,True
O34,33,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,32.0,2.13069,a,True
O34,34,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,33.0,1.756447,e,True
O34,35,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,34.0,3.5846286,e,True
O34,36,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,35.0,1.2628543,i,True
O34,37,gestures/girl_S.mp4,h_g,u,G,girl,1.0,36.0,1.2049028,u,True
O34,38,gestures/car_S.mp4,m_ve,o,G,car,1.0,37.0,1.4043453,o,True
O34,39,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,38.0,1.1385224,o,True
O34,40,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,39.0,1.5965039,a,True
O34,41,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,40.0,1.1936231,u,True
O34,42,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,41.0,1.3547179,i,True
O34,43,gestures/dog_S.mp4,to_th,o,G,dog,1.0,42.0,1.4594363,o,True
O34,44,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,43.0,1.4287227,a,True
O34,45,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,44.0,1.468044,u,True
O34,46,gestures/car_S.mp4,whe_l,e,G,car,1.0,45.0,1.2416981,e,True
O34,47,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,46.0,1.9284688,i,True
O34,48,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,47.0,1.163309,i,True
O34,49,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,48.0,1.2128459,a,True
O34,50,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,49.0,1.7219818,i,True
O34,51,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,50.0,1.5473045,a,True
O34,52,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,51.0,1.4678881,i,True
O34,53,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,52.0,1.318923,o,True
O34,54,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,53.0,1.137004,a,True
O34,55,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,54.0,1.274904,o,True
O34,56,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,55.0,1.136863,e,True
O34,57,gestures/cat_S.mp4,n_se,o,G,cat,1.0,56.0,1.6227268,o,True
O34,58,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,57.0,1.4700269,u,True
O34,59,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,58.0,1.2223641,e,True
O34,60,gestures/car_S.mp4,cr_sh,a,G,car,1.0,59.0,1.2855668,a,True
O34,61,gestures/frog_S.mp4,list_n,e,G,frog,1.0,60.0,1.465811,e,True
O34,62,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,61.0,1.2460939,i,True
O34,63,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,62.0,1.3570608,e,True
O34,64,gestures/car_S.mp4,wind_w,o,G,car,1.0,63.0,1.5336654,o,True
