subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
R15,1,gestures/dog_S.mp4,to_th,o,G,dog,1.0,0.0,2.0881062,o,True
R15,2,gestures/car_S.mp4,m_ve,o,G,car,1.0,1.0,1.4813205,o,True
R15,3,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,2.0,1.3207436,a,True
R15,4,gestures/cat_S.mp4,n_se,o,G,cat,1.0,3.0,1.2633408,o,True
R15,5,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,4.0,3.4242206,o,False
R15,6,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,5.0,1.128933,u,True
R15,7,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,6.0,1.6979287,i,True
R15,8,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,7.0,1.4527179,a,True
R15,9,gestures/car_S.mp4,wind_w,o,G,car,1.0,8.0,1.5823349,o,True
R15,10,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,9.0,1.601026,i,True
R15,11,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,10.0,0.9938146,a,True
R15,12,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,11.0,1.6763431,i,True
R15,13,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,12.0,1.8441114,e,True
R15,14,gestures/girl_S.mp4,h_g,u,G,girl,1.0,13.0,1.1806026,u,True
R15,15,gestures/frog_S.mp4,list_n,e,G,frog,1.0,14.0,2.3333645,e,True
R15,16,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,15.0,1.1103125,i,True
R15,17,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,16.0,3.483047,o,False
R15,18,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,17.0,1.2706077,i,True
R15,19,gestures/car_S.mp4,whe_l,e,G,car,1.0,18.0,1.2793303,e,True
R15,20,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,19.0,1.4624543,e,True
R15,21,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,20.0,1.1191505,o,True
R15,22,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,21.0,1.2577047,o,True
R15,23,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,22.0,1.8644413,u,True
R15,24,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,23.0,2.2594898,a,False
R15,25,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,24.0,1.1818482,i,True
R15,26,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,25.0,0.97723395,o,True
R15,27,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,26.0,1.514578,o,False
R15,28,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,27.0,1.6363318,e,True
R15,29,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,28.0,1.2284979,e,True
R15,30,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,29.0,1.440741,a,True
R15,31,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,30.0,1.5868502,i,False
R15,32,gestures/car_S.mp4,cr_sh,a,G,car,1.0,31.0,1.1675128,e,False
R15,33,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,32.0,1.8853251,a,False
R15,34,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,33.0,1.4437635,i,True
R15,35,gestures/car_POS.mp4,wind_w,o,S,car,1.0,34.0,1.4818187,o,True
R15,36,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,35.0,1.055928,o,True
R15,37,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,36.0,1.4524914,e,True
R15,38,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,37.0,1.0170913,e,True
R15,39,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,38.0,1.2787774,o,False
R15,40,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,39.0,1.3233685,a,True
R15,41,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,40.0,1.048066,o,True
R15,42,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,41.0,1.5359938,a,True
R15,43,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,42.0,1.0447594,i,False
R15,44,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,43.0,1.3528851,o,False
R15,45,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,44.0,2.1157575,i,True
R15,46,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,45.0,1.1318634,o,True
R15,47,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,46.0,1.2038195,e,True
R15,48,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,47.0,3.0540493,i,True
R15,49,gestures/car_PL.mp4,m_ve,o,S,car,1.0,48.0,0.9782895,o,True
R15,50,gestures/car_POS.mp4,whe_l,e,S,car,1.0,49.0,1.2038449,e,True
R15,51,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,50.0,1.0372195,e,True
R15,52,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,51.0,1.5164788,o,False
R15,53,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,52.0,3.0585666,o,True
R15,54,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,53.0,2.2644782,u,True
R15,55,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,54.0,1.297617,a,True
R15,56,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,55.0,1.6472571,i,True
R15,57,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,56.0,1.5270839,i,True
R15,58,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,57.0,2.020851,e,True
R15,59,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,58.0,1.1709604,a,True
R15,60,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,59.0,1.4442081,o,True
R15,61,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,60.0,1.5523356,u,True
R15,62,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,61.0,1.9960943,i,True
R15,63,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,62.0,1.7487078,a,True
R15,64,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,63.0,1.8776723,i,True
