subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
S46,1,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,0.0,1.7294871,i,True
S46,2,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,1.0,1.5805477,i,True
S46,3,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,2.0,2.6928952,a,True
S46,4,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,3.0,1.6819407,u,True
S46,5,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,4.0,2.025889,e,True
S46,6,gestures/cat_S.mp4,n_se,o,G,cat,1.0,5.0,1.9856948,o,True
S46,7,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,6.0,1.5207336,a,True
S46,8,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,7.0,1.5682076,i,True
S46,9,gestures/car_S.mp4,wind_w,o,G,car,1.0,8.0,1.4507414,o,True
S46,10,gestures/frog_S.mp4,list_n,e,G,frog,1.0,9.0,1.615109,e,True
S46,11,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,10.0,1.416546,o,True
S46,12,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,11.0,2.0493445,i,True
S46,13,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,12.0,1.302621,i,True
S46,14,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,13.0,1.7798418,e,True
S46,15,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,14.0,1.303479,a,True
S46,16,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,15.0,1.6795126,a,True
S46,17,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,16.0,2.0222723,e,True
S46,18,gestures/girl_S.mp4,h_g,u,G,girl,1.0,17.0,1.6889352,u,True
S46,19,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,18.0,1.8445733,a,True
S46,20,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,19.0,1.3389744,e,True
S46,21,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,20.0,1.4824067,u,True
S46,22,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,21.0,2.2537384,o,True
S46,23,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,22.0,1.7426249,a,True
S46,24,gestures/dog_S.mp4,to_th,o,G,dog,1.0,23.0,2.2752814,o,True
S46,25,gestures/car_S.mp4,m_ve,o,G,car,1.0,24.0,1.4464777,o,True
S46,26,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,25.0,1.4815656,i,True
S46,27,gestures/car_S.mp4,whe_l,e,G,car,1.0,26.0,2.0257535,e,True
S46,28,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,27.0,1.2615987,o,True
S46,29,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,28.0,1.4555906,i,True
S46,30,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,29.0,3.6202514,e,True
S46,31,gestures/car_S.mp4,cr_sh,a,G,car,1.0,30.0,1.3733957,a,True
S46,32,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,31.0,1.5750675,u,True
S46,33,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,32.0,1.4596791,i,True
S46,34,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,33.0,1.5531204,a,True
S46,35,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,34.0,1.3069944,a,True
S46,36,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,35.0,1.4809917,u,True
S46,37,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,36.0,1.2812768,i,True
S46,38,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,37.0,1.5448867,e,True
S46,39,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,38.0,1.5587895,e,True
S46,40,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,39.0,1.4906349,i,True
S46,41,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,40.0,1.2090169,i,True
S46,42,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,41.0,1.5414636,u,True
S46,43,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,42.0,1.4560661,e,True
S46,44,gestures/car_PL.mp4,m_ve,o,S,car,1.0,43.0,1.5090835,o,True
S46,45,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,44.0,1.7086622,a,True
S46,46,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,45.0,1.3830404,o,True
S46,47,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,46.0,1.4767209,a,True
S46,48,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,47.0,1.2726992,i,True
S46,49,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,48.0,1.5709535,o,True
