subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
T10,1,gestures/car_S.mp4,wind_w,o,G,car,1.0,0.0,15.401257,o,True
T10,2,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,1.0,2.667205,e,True
T10,3,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,2.0,3.2673473,i,True
T10,4,gestures/cat_S.mp4,n_se,o,G,cat,1.0,3.0,2.1362424,o,True
T10,5,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,4.0,2.0274928,e,True
T10,6,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,5.0,2.135302,i,True
T10,7,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,6.0,2.4986103,a,True
T10,8,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,7.0,1.7740533,e,True
T10,9,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,8.0,4.1801767,o,False
T10,10,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,9.0,3.235626,a,True
T10,11,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,10.0,7.4693656,u,False
T10,12,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,11.0,2.0335088,u,True
T10,13,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,12.0,2.8411627,o,True
T10,14,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,13.0,3.935662,u,True
T10,15,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,14.0,1.8109759,a,True
T10,16,gestures/car_S.mp4,cr_sh,a,G,car,1.0,15.0,1.8945897,a,True
T10,17,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,16.0,2.1354473,i,True
T10,18,gestures/girl_S.mp4,h_g,u,G,girl,1.0,17.0,2.976725,u,True
T10,19,gestures/car_S.mp4,whe_l,e,G,car,1.0,18.0,8.893981,i,False
T10,20,gestures/car_S.mp4,m_ve,o,G,car,1.0,19.0,1.8668845,o,True
T10,21,gestures/frog_S.mp4,list_n,e,G,frog,1.0,20.0,3.0466616,e,True
T10,22,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,21.0,1.8969885,i,True
T10,23,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,22.0,1.8128527,o,True
T10,24,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,23.0,1.6653998,i,True
T10,25,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,24.0,2.1784132,i,True
T10,26,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,25.0,2.1523905,e,True
T10,27,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,26.0,1.6663035,o,True
T10,28,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,27.0,5.51397,i,False
T10,29,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,28.0,10.166654,a,True
T10,30,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,29.0,1.9515922,u,True
T10,31,gestures/dog_S.mp4,to_th,o,G,dog,1.0,30.0,2.1830063,u,False
T10,32,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,31.0,1.9524289,a,True
T10,33,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,32.0,10.76559,e,True
T10,34,gestures/car_POS.mp4,wind_w,o,S,car,1.0,33.0,1.7776377,o,True
T10,35,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,34.0,1.681132,o,True
T10,36,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,35.0,1.6020179,u,True
T10,37,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,36.0,4.8055515,o,True
T10,38,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,37.0,2.0165977,u,True
T10,39,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,38.0,2.540048,i,True
T10,40,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,39.0,2.0910199,i,True
T10,41,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,40.0,1.9868914,o,True
T10,42,gestures/car_PL.mp4,m_ve,o,S,car,1.0,41.0,1.8621697,o,True
T10,43,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,42.0,5.067277,a,True
T10,44,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,43.0,1.8548709,i,True
T10,45,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,44.0,1.6596885,u,True
T10,46,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,45.0,5.4831905,u,True
T10,47,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,46.0,1.8673677,e,True
