subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN05CA2,1,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,0.0,1.9237143,e,True
AN05CA2,2,gestures/car_S.mp4,m_ve,o,G,car,1.0,1.0,1.4607458,o,True
AN05CA2,3,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,2.0,1.4240531,e,True
AN05CA2,4,gestures/cat_S.mp4,n_se,o,G,cat,1.0,3.0,1.500472,o,True
AN05CA2,5,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,4.0,1.6676143,u,True
AN05CA2,6,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,5.0,1.3561267,i,True
AN05CA2,7,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,6.0,2.1262596,a,True
AN05CA2,8,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,7.0,1.4159598,i,True
AN05CA2,9,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,8.0,1.1767383,a,True
AN05CA2,10,gestures/car_S.mp4,whe_l,e,G,car,1.0,9.0,2.5148084,e,True
AN05CA2,11,gestures/dog_S.mp4,to_th,o,G,dog,1.0,10.0,1.3215477,o,True
AN05CA2,12,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,11.0,1.4385705,e,True
AN05CA2,13,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,12.0,1.3722152,a,True
AN05CA2,14,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,13.0,3.288903,a,False
AN05CA2,15,gestures/car_S.mp4,wind_w,o,G,car,1.0,14.0,1.5571115,o,True
AN05CA2,16,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,15.0,1.2885718,a,True
AN05CA2,17,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,16.0,1.1166555,i,True
AN05CA2,18,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,17.0,3.5267835,u,True
AN05CA2,19,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,18.0,1.6038891,o,True
AN05CA2,20,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,19.0,1.370316,e,True
AN05CA2,21,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,20.0,1.8339837,i,True
AN05CA2,22,gestures/car_S.mp4,cr_sh,a,G,car,1.0,21.0,1.3139518,a,True
AN05CA2,23,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,22.0,1.632567,i,True
AN05CA2,24,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,23.0,1.3190038,i,True
AN05CA2,25,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,24.0,1.321996,a,True
AN05CA2,26,gestures/frog_S.mp4,list_n,e,G,frog,1.0,25.0,1.2408744,i,False
AN05CA2,27,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,26.0,2.4657028,e,False
AN05CA2,28,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,27.0,1.6328198,e,True
AN05CA2,29,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,28.0,1.4290819,o,True
AN05CA2,30,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,29.0,1.1742471,o,True
AN05CA2,31,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,30.0,1.6531254,a,True
AN05CA2,32,gestures/girl_S.mp4,h_g,u,G,girl,1.0,31.0,1.6933877,u,True
AN05CA2,33,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,32.0,1.3573724,e,True
AN05CA2,34,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,33.0,1.0856122,a,True
AN05CA2,35,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,34.0,1.95626,o,False
AN05CA2,36,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,35.0,1.2436539,a,True
AN05CA2,37,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,36.0,1.1817226,i,True
AN05CA2,38,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,37.0,1.2720253,e,True
AN05CA2,39,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,38.0,1.1260723,i,True
AN05CA2,40,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,39.0,1.5644097,o,True
AN05CA2,41,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,40.0,1.1478772,a,True
AN05CA2,42,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,41.0,1.1157776,i,True
AN05CA2,43,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,42.0,1.4163541,a,True
AN05CA2,44,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,43.0,3.4682777,i,False
AN05CA2,45,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,44.0,1.1086314,o,True
AN05CA2,46,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,45.0,1.199011,a,True
AN05CA2,47,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,46.0,1.2153655,o,True
AN05CA2,48,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,47.0,1.5854498,u,True
AN05CA2,49,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,48.0,1.4805937,i,True
AN05CA2,50,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,49.0,1.2455761,i,True
AN05CA2,51,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,50.0,1.2602806,o,True
AN05CA2,52,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,51.0,2.5850718,e,False
AN05CA2,53,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,52.0,1.9085621,u,True
AN05CA2,54,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,53.0,1.4053736,e,True
AN05CA2,55,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,54.0,1.7889429,e,True
AN05CA2,56,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,55.0,1.43529,o,True
AN05CA2,57,gestures/car_POS.mp4,whe_l,e,S,car,1.0,56.0,3.2317226,e,True
AN05CA2,58,gestures/car_POS.mp4,wind_w,o,S,car,1.0,57.0,1.7031196,o,True
