subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN32AN32MA1,1,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,0.0,3.578794,a,False
AN32AN32MA1,2,gestures/car_POS.mp4,wind_w,o,S,car,1.0,1.0,1.4171175,o,True
AN32AN32MA1,3,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,2.0,3.8432994,e,False
AN32AN32MA1,4,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,3.0,2.0171726,i,True
AN32AN32MA1,5,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,4.0,2.0851805,o,False
AN32AN32MA1,6,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,5.0,1.4163781,o,True
AN32AN32MA1,7,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,6.0,3.1500952,a,True
AN32AN32MA1,8,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,7.0,1.5837351,i,True
AN32AN32MA1,9,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,8.0,1.9217083,e,False
AN32AN32MA1,10,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,9.0,1.6999203,e,True
AN32AN32MA1,11,gestures/car_PL.mp4,m_ve,o,S,car,1.0,10.0,1.8382328,o,True
AN32AN32MA1,12,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,11.0,1.6453843,a,True
AN32AN32MA1,13,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,12.0,1.2868567,u,True
AN32AN32MA1,14,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,13.0,1.8518314,i,True
AN32AN32MA1,15,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,14.0,1.4537262,o,True
AN32AN32MA1,16,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,15.0,1.5565569,a,False
AN32AN32MA1,17,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,16.0,1.4284382,i,True
AN32AN32MA1,18,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,17.0,3.1472602,e,True
AN32AN32MA1,19,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,18.0,1.662978,e,True
AN32AN32MA1,20,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,19.0,3.3493679,e,False
AN32AN32MA1,21,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,20.0,1.2683555,a,True
AN32AN32MA1,22,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,21.0,2.842167,o,True
AN32AN32MA1,23,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,22.0,2.6360862,a,True
AN32AN32MA1,24,gestures/car_POS.mp4,whe_l,e,S,car,1.0,23.0,1.72255,e,True
AN32AN32MA1,25,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,24.0,1.9995669,i,True
AN32AN32MA1,26,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,25.0,1.1858925,o,True
AN32AN32MA1,27,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,26.0,3.9687302,e,False
AN32AN32MA1,28,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,27.0,1.9753957,o,True
AN32AN32MA1,29,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,28.0,1.7458827,u,True
AN32AN32MA1,30,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,29.0,5.4717107,a,False
AN32AN32MA1,31,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,30.0,2.371174,a,False
AN32AN32MA1,32,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,31.0,2.6533277,e,True
AN32AN32MA1,33,gestures/frog_S.mp4,tong_e,u,G,frog,0.0,--,--,--,--
AN32AN32MA1,34,gestures/dog_S.mp4,to_th,o,G,dog,0.0,--,--,--,--
AN32AN32MA1,35,gestures/boy_S.mp4,w_ve,a,G,boy,0.0,--,--,--,--
AN32AN32MA1,36,gestures/baby_S.mp4,t_ddy,e,G,baby,0.0,--,--,--,--
AN32AN32MA1,37,gestures/horse_S.mp4,w_lk,a,G,horse,0.0,--,--,--,--
AN32AN32MA1,38,gestures/baby_S.mp4,bl_nket,a,G,baby,0.0,--,--,--,--
AN32AN32MA1,39,gestures/girl_S.mp4,dr_ss,e,G,girl,0.0,--,--,--,--
AN32AN32MA1,40,gestures/horse_S.mp4,k_ck,i,G,horse,0.0,--,--,--,--
AN32AN32MA1,41,gestures/horse_S.mp4,h_ad,e,G,horse,0.0,--,--,--,--
AN32AN32MA1,42,gestures/car_S.mp4,whe_l,e,G,car,0.0,--,--,--,--
AN32AN32MA1,43,gestures/dog_S.mp4,b_rk,a,G,dog,0.0,--,--,--,--
AN32AN32MA1,44,gestures/dog_S.mp4,pl_y,a,G,dog,0.0,--,--,--,--
AN32AN32MA1,45,gestures/frog_S.mp4,j_mp,u,G,frog,0.0,--,--,--,--
AN32AN32MA1,46,gestures/frog_S.mp4,list_n,e,G,frog,0.0,--,--,--,--
AN32AN32MA1,47,gestures/frog_S.mp4,fo_t,o,G,frog,0.0,--,--,--,--
AN32AN32MA1,48,gestures/cat_S.mp4,ta_l,i,G,cat,0.0,--,--,--,--
AN32AN32MA1,49,gestures/horse_S.mp4,mo_th,u,G,horse,0.0,--,--,--,--
AN32AN32MA1,50,gestures/girl_S.mp4,h_g,u,G,girl,0.0,--,--,--,--
AN32AN32MA1,51,gestures/cat_S.mp4,lo_k,o,G,cat,0.0,--,--,--,--
AN32AN32MA1,52,gestures/car_S.mp4,cr_sh,a,G,car,0.0,--,--,--,--
AN32AN32MA1,53,gestures/girl_S.mp4,wh_stle,i,G,girl,0.0,--,--,--,--
AN32AN32MA1,54,gestures/boy_S.mp4,t-sh_rt,i,G,boy,0.0,--,--,--,--
AN32AN32MA1,55,gestures/car_S.mp4,m_ve,o,G,car,0.0,--,--,--,--
AN32AN32MA1,56,gestures/baby_S.mp4,sm_le,i,G,baby,0.0,--,--,--,--
AN32AN32MA1,57,gestures/cat_S.mp4,n_se,o,G,cat,0.0,--,--,--,--
AN32AN32MA1,58,gestures/dog_S.mp4,n_ck,e,G,dog,0.0,--,--,--,--
AN32AN32MA1,59,gestures/cat_S.mp4,sl_ep,e,G,cat,0.0,--,--,--,--
AN32AN32MA1,60,gestures/girl_S.mp4,ha_r,i,G,girl,0.0,--,--,--,--
AN32AN32MA1,61,gestures/boy_S.mp4,bo_k,o,G,boy,0.0,--,--,--,--
AN32AN32MA1,62,gestures/baby_S.mp4,cr_wl,a,G,baby,0.0,--,--,--,--
AN32AN32MA1,63,gestures/boy_S.mp4,po_nt,i,G,boy,0.0,--,--,--,--
AN32AN32MA1,64,gestures/car_S.mp4,wind_w,o,G,car,0.0,--,--,--,--
