subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN32MA1,1,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,0.0,2.6203823,i,True
AN32MA1,2,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,1.0,2.4533298,a,True
AN32MA1,3,gestures/girl_S.mp4,h_g,u,G,girl,1.0,2.0,2.2613788,u,True
AN32MA1,4,gestures/dog_S.mp4,to_th,o,G,dog,1.0,3.0,23.039402,a,False
AN32MA1,5,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,4.0,2.787389,e,True
AN32MA1,6,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,5.0,1.8682132,a,True
AN32MA1,7,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,6.0,1.8743876,i,True
AN32MA1,8,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,7.0,1.4189641,a,True
AN32MA1,9,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,8.0,1.8322347,u,True
AN32MA1,10,gestures/car_S.mp4,m_ve,o,G,car,1.0,9.0,3.8407915,a,False
AN32MA1,11,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,10.0,2.9060922,a,False
AN32MA1,12,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,11.0,1.5409608,o,True
AN32MA1,13,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,12.0,1.4958562,o,True
AN32MA1,14,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,13.0,2.6627991,a,False
AN32MA1,15,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,14.0,3.5179343,e,True
AN32MA1,16,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,15.0,2.3716912,i,True
AN32MA1,17,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,16.0,1.9702815,a,True
AN32MA1,18,gestures/car_S.mp4,cr_sh,a,G,car,1.0,17.0,2.2558525,a,True
AN32MA1,19,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,18.0,2.365904,a,False
AN32MA1,20,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,19.0,1.9550223,i,True
AN32MA1,21,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,20.0,7.6919885,o,True
AN32MA1,22,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,21.0,11.035107,i,False
AN32MA1,23,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,22.0,4.2298255,i,True
AN32MA1,24,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,23.0,1.7605911,a,False
AN32MA1,25,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,24.0,3.3418777,o,False
AN32MA1,26,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,25.0,1.796702,a,True
AN32MA1,27,gestures/car_S.mp4,whe_l,e,G,car,1.0,26.0,1.5972666,a,False
