subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN32MAAN32MA2,1,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,0.0,2.2666793,o,True
AN32MAAN32MA2,2,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,1.0,1.5526017,e,True
AN32MAAN32MA2,3,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,2.0,2.3512328,i,True
AN32MAAN32MA2,4,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,3.0,1.9666756,i,True
AN32MAAN32MA2,5,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,4.0,2.9872928,e,True
AN32MAAN32MA2,6,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,5.0,2.1343186,a,True
AN32MAAN32MA2,7,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,6.0,6.588249,e,True
AN32MAAN32MA2,8,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,7.0,1.4163027,i,True
AN32MAAN32MA2,9,gestures/car_S.mp4,m_ve,o,G,car,1.0,8.0,2.2299254,o,True
AN32MAAN32MA2,10,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,9.0,1.6983427,o,True
AN32MAAN32MA2,11,gestures/car_S.mp4,whe_l,e,G,car,1.0,10.0,4.337546,e,True
AN32MAAN32MA2,12,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,11.0,5.3582993,e,True
AN32MAAN32MA2,13,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,12.0,4.7707815,u,True
AN32MAAN32MA2,14,gestures/dog_S.mp4,to_th,o,G,dog,1.0,13.0,4.152995,a,False
AN32MAAN32MA2,15,gestures/cat_S.mp4,n_se,o,G,cat,1.0,14.0,3.188126,o,True
AN32MAAN32MA2,16,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,15.0,1.7821958,i,True
AN32MAAN32MA2,17,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,16.0,3.3142889,a,True
AN32MAAN32MA2,18,gestures/frog_S.mp4,list_n,e,G,frog,1.0,17.0,2.622172,e,True
AN32MAAN32MA2,19,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,18.0,2.7152767,o,False
AN32MAAN32MA2,20,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,19.0,2.0743012,o,True
AN32MAAN32MA2,21,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,20.0,2.4434175,i,True
AN32MAAN32MA2,22,gestures/girl_S.mp4,h_g,u,G,girl,1.0,21.0,2.888951,u,True
AN32MAAN32MA2,23,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,22.0,2.7871244,a,False
AN32MAAN32MA2,24,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,23.0,2.244665,a,True
AN32MAAN32MA2,25,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,24.0,3.0561528,i,True
AN32MAAN32MA2,26,gestures/car_S.mp4,wind_w,o,G,car,1.0,25.0,3.507121,o,True
AN32MAAN32MA2,27,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,26.0,4.4383564,a,True
AN32MAAN32MA2,28,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,27.0,2.503834,i,True
AN32MAAN32MA2,29,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,28.0,1.8467044,a,True
AN32MAAN32MA2,30,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,29.0,1.9913931,u,True
AN32MAAN32MA2,31,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,30.0,2.182681,a,True
AN32MAAN32MA2,32,gestures/car_S.mp4,cr_sh,a,G,car,1.0,31.0,2.8463223,a,True
AN32MAAN32MA2,33,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,0.0,--,--,--,--
AN32MAAN32MA2,34,gestures/frog_POS.mp4,tong_e,u,S,frog,0.0,--,--,--,--
AN32MAAN32MA2,35,gestures/car_POS.mp4,wind_w,o,S,car,0.0,--,--,--,--
AN32MAAN32MA2,36,gestures/frog_PL.mp4,j_mp,u,S,frog,0.0,--,--,--,--
AN32MAAN32MA2,37,gestures/cat_PL.mp4,lo_k,o,S,cat,0.0,--,--,--,--
AN32MAAN32MA2,38,gestures/car_POS.mp4,whe_l,e,S,car,0.0,--,--,--,--
AN32MAAN32MA2,39,gestures/boy_POS.mp4,bo_k,o,S,boy,0.0,--,--,--,--
AN32MAAN32MA2,40,gestures/car_PL.mp4,cr_sh,a,S,car,0.0,--,--,--,--
AN32MAAN32MA2,41,gestures/horse_POS.mp4,h_ad,e,S,horse,0.0,--,--,--,--
AN32MAAN32MA2,42,gestures/baby_POS.mp4,bl_nket,a,S,baby,0.0,--,--,--,--
AN32MAAN32MA2,43,gestures/girl_PL.mp4,h_g,u,S,girl,0.0,--,--,--,--
AN32MAAN32MA2,44,gestures/car_PL.mp4,m_ve,o,S,car,0.0,--,--,--,--
AN32MAAN32MA2,45,gestures/dog_PL.mp4,b_rk,a,S,dog,0.0,--,--,--,--
AN32MAAN32MA2,46,gestures/baby_PL.mp4,cr_wl,a,S,baby,0.0,--,--,--,--
AN32MAAN32MA2,47,gestures/dog_PL.mp4,pl_y,a,S,dog,0.0,--,--,--,--
AN32MAAN32MA2,48,gestures/girl_POS.mp4,ha_r,i,S,girl,0.0,--,--,--,--
AN32MAAN32MA2,49,gestures/baby_POS.mp4,t_ddy,e,S,baby,0.0,--,--,--,--
AN32MAAN32MA2,50,gestures/dog_POS.mp4,n_ck,e,S,dog,0.0,--,--,--,--
AN32MAAN32MA2,51,gestures/cat_PL.mp4,sl_ep,e,S,cat,0.0,--,--,--,--
AN32MAAN32MA2,52,gestures/frog_PL.mp4,list_n,e,S,frog,0.0,--,--,--,--
AN32MAAN32MA2,53,gestures/cat_POS.mp4,n_se,o,S,cat,0.0,--,--,--,--
AN32MAAN32MA2,54,gestures/horse_POS.mp4,mo_th,u,S,horse,0.0,--,--,--,--
AN32MAAN32MA2,55,gestures/cat_POS.mp4,ta_l,i,S,cat,0.0,--,--,--,--
AN32MAAN32MA2,56,gestures/girl_POS.mp4,dr_ss,e,S,girl,0.0,--,--,--,--
AN32MAAN32MA2,57,gestures/horse_PL.mp4,w_lk,a,S,horse,0.0,--,--,--,--
AN32MAAN32MA2,58,gestures/boy_PL.mp4,w_ve,a,S,boy,0.0,--,--,--,--
AN32MAAN32MA2,59,gestures/girl_PL.mp4,wh_stle,i,S,girl,0.0,--,--,--,--
AN32MAAN32MA2,60,gestures/frog_POS.mp4,fo_t,o,S,frog,0.0,--,--,--,--
AN32MAAN32MA2,61,gestures/baby_PL.mp4,sm_le,i,S,baby,0.0,--,--,--,--
AN32MAAN32MA2,62,gestures/horse_PL.mp4,k_ck,i,S,horse,0.0,--,--,--,--
AN32MAAN32MA2,63,gestures/boy_PL.mp4,po_nt,i,S,boy,0.0,--,--,--,--
AN32MAAN32MA2,64,gestures/dog_POS.mp4,to_th,o,S,dog,0.0,--,--,--,--
