subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AS22DR1,1,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,0.0,3.8169801,i,True
AS22DR1,2,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,1.0,3.1775951,a,True
AS22DR1,3,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,2.0,2.2895284,e,True
AS22DR1,4,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,3.0,8.706626,i,False
AS22DR1,5,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,4.0,7.711819,o,True
AS22DR1,6,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,5.0,9.909442,i,False
AS22DR1,7,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,6.0,4.3250866,e,True
AS22DR1,8,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,7.0,3.3494773,a,True
AS22DR1,9,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,8.0,1.8889335,e,True
AS22DR1,10,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,9.0,1.8216949,i,True
AS22DR1,11,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,10.0,1.9783647,e,True
AS22DR1,12,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,11.0,2.24261,i,True
AS22DR1,13,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,12.0,1.9354007,i,True
AS22DR1,14,gestures/car_POS.mp4,whe_l,e,S,car,1.0,13.0,5.0494366,a,False
AS22DR1,15,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,14.0,1.925267,o,True
AS22DR1,16,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,15.0,7.844139,i,False
AS22DR1,17,gestures/car_PL.mp4,m_ve,o,S,car,1.0,16.0,1.917485,o,True
AS22DR1,18,gestures/car_POS.mp4,wind_w,o,S,car,1.0,17.0,3.8572984,o,True
AS22DR1,19,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,18.0,1.7961953,i,True
AS22DR1,20,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,19.0,1.7797395,e,True
AS22DR1,21,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,20.0,1.7221904,a,True
AS22DR1,22,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,21.0,1.5505037,o,True
AS22DR1,23,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,22.0,2.1952431,o,True
AS22DR1,24,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,23.0,6.598453,o,False
AS22DR1,25,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,24.0,2.5425193,a,False
AS22DR1,26,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,25.0,1.719533,u,False
AS22DR1,27,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,26.0,3.221032,u,False
AS22DR1,28,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,27.0,1.5783079,u,True
AS22DR1,29,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,28.0,2.2740047,i,True
AS22DR1,30,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,29.0,3.5428827,a,False
AS22DR1,31,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,30.0,2.2826068,a,True
AS22DR1,32,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,31.0,2.8420563,a,True
AS22DR1,33,gestures/cat_S.mp4,n_se,o,G,cat,1.0,32.0,3.3634357,o,True
AS22DR1,34,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,33.0,2.11902,e,True
AS22DR1,35,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,34.0,3.4975102,e,True
AS22DR1,36,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,35.0,4.4012604,u,True
AS22DR1,37,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,36.0,1.4715121,a,True
AS22DR1,38,gestures/frog_S.mp4,list_n,e,G,frog,1.0,37.0,1.698848,e,True
AS22DR1,39,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,38.0,4.583499,u,False
AS22DR1,40,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,39.0,1.6579038,i,True
AS22DR1,41,gestures/car_S.mp4,cr_sh,a,G,car,1.0,40.0,2.546133,u,False
AS22DR1,42,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,41.0,4.0527215,o,True
AS22DR1,43,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,42.0,2.7283113,i,True
AS22DR1,44,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,43.0,2.0756063,i,True
AS22DR1,45,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,44.0,2.2699945,a,False
AS22DR1,46,gestures/car_S.mp4,m_ve,o,G,car,1.0,45.0,2.0083437,o,True
AS22DR1,47,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,46.0,1.678968,o,True
AS22DR1,48,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,47.0,2.0693207,a,True
AS22DR1,49,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,48.0,1.7051954,e,True
AS22DR1,50,gestures/car_S.mp4,wind_w,o,G,car,1.0,49.0,1.8950629,o,True
AS22DR1,51,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,50.0,1.7022585,i,True
AS22DR1,52,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,51.0,3.6005137,a,True
AS22DR1,53,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,52.0,1.990101,u,True
