subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
CH29TH2,1,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,0.0,1.7154291,o,True
CH29TH2,2,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,1.0,1.7962933,i,True
CH29TH2,3,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,2.0,3.7962704,i,True
CH29TH2,4,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,3.0,1.6314745,a,True
CH29TH2,5,gestures/cat_S.mp4,n_se,o,G,cat,1.0,4.0,1.5817386,o,True
CH29TH2,6,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,5.0,1.7515804,o,True
CH29TH2,7,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,6.0,15.849418,a,False
CH29TH2,8,gestures/car_S.mp4,cr_sh,a,G,car,1.0,7.0,1.6709442,a,True
CH29TH2,9,gestures/car_S.mp4,whe_l,e,G,car,1.0,8.0,2.205673,e,True
CH29TH2,10,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,9.0,1.9858166,e,True
CH29TH2,11,gestures/car_S.mp4,m_ve,o,G,car,1.0,10.0,2.24666,o,True
CH29TH2,12,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,11.0,1.9796944,e,False
CH29TH2,13,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,12.0,1.8650397,i,True
CH29TH2,14,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,13.0,9.824969,a,True
CH29TH2,15,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,14.0,2.4435399,i,True
CH29TH2,16,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,15.0,1.438026,i,True
CH29TH2,17,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,16.0,2.8156626,o,False
CH29TH2,18,gestures/frog_S.mp4,list_n,e,G,frog,1.0,17.0,1.9923387,i,False
CH29TH2,19,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,18.0,1.8687836,u,True
CH29TH2,20,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,19.0,1.6586823,e,True
CH29TH2,21,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,20.0,2.816906,e,True
CH29TH2,22,gestures/girl_S.mp4,h_g,u,G,girl,1.0,21.0,1.6292737,u,True
CH29TH2,23,gestures/dog_S.mp4,to_th,o,G,dog,1.0,22.0,2.6382613,o,True
CH29TH2,24,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,23.0,1.632268,u,True
CH29TH2,25,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,24.0,1.7625242,e,True
CH29TH2,26,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,25.0,2.2508352,e,False
CH29TH2,27,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,26.0,1.7438071,a,True
CH29TH2,28,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,27.0,2.0326097,i,True
CH29TH2,29,gestures/car_S.mp4,wind_w,o,G,car,1.0,28.0,1.9077353,o,True
CH29TH2,30,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,29.0,4.393581,a,False
CH29TH2,31,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,30.0,1.7123083,o,True
CH29TH2,32,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,31.0,1.683522,a,True
