subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
CL18JE1,1,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,0.0,2.187936,o,True
CL18JE1,2,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,1.0,2.5406911,i,True
CL18JE1,3,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,2.0,2.6358755,a,False
CL18JE1,4,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,3.0,3.2960012,i,True
CL18JE1,5,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,4.0,3.3095024,u,True
CL18JE1,6,gestures/car_S.mp4,m_ve,o,G,car,1.0,5.0,1.7430626,o,True
CL18JE1,7,gestures/frog_S.mp4,list_n,e,G,frog,1.0,6.0,4.1298995,e,True
CL18JE1,8,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,7.0,2.4274852,a,True
CL18JE1,9,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,8.0,3.9022102,i,True
CL18JE1,10,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,9.0,2.578654,o,True
CL18JE1,11,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,10.0,6.635804,a,True
CL18JE1,12,gestures/car_S.mp4,whe_l,e,G,car,1.0,11.0,2.8455179,e,True
CL18JE1,13,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,12.0,2.399851,e,True
CL18JE1,14,gestures/car_S.mp4,wind_w,o,G,car,1.0,13.0,2.2476833,o,True
CL18JE1,15,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,14.0,3.8234892,o,False
CL18JE1,16,gestures/girl_S.mp4,h_g,u,G,girl,1.0,15.0,5.7018566,i,False
CL18JE1,17,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,16.0,2.7475352,e,True
CL18JE1,18,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,17.0,10.736679,a,True
CL18JE1,19,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,18.0,2.5281491,i,True
CL18JE1,20,gestures/cat_S.mp4,n_se,o,G,cat,1.0,19.0,2.0643563,o,True
CL18JE1,21,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,20.0,2.246197,a,True
CL18JE1,22,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,21.0,1.6105516,a,True
CL18JE1,23,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,22.0,2.471582,a,True
CL18JE1,24,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,23.0,3.8358822,a,False
CL18JE1,25,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,24.0,2.6233034,o,True
