subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
EB12AY1,1,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,0.0,8.102379,a,True
EB12AY1,2,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,1.0,2.8050554,a,False
EB12AY1,3,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,2.0,4.084539,e,False
EB12AY1,4,gestures/car_POS.mp4,wind_w,o,S,car,1.0,3.0,5.054311,o,True
EB12AY1,5,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,4.0,5.7258186,e,False
EB12AY1,6,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,5.0,9.571877,a,False
EB12AY1,7,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,6.0,2.989803,e,True
EB12AY1,8,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,7.0,8.224081,u,False
EB12AY1,9,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,8.0,3.8356638,i,False
EB12AY1,10,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,9.0,2.1745558,o,True
EB12AY1,11,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,10.0,4.9813156,e,True
EB12AY1,12,gestures/car_POS.mp4,whe_l,e,S,car,1.0,11.0,5.2822933,o,False
EB12AY1,13,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,12.0,4.538057,e,False
EB12AY1,14,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,13.0,3.0799496,i,True
EB12AY1,15,gestures/car_PL.mp4,m_ve,o,S,car,1.0,14.0,4.915147,a,False
EB12AY1,16,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,15.0,5.6686783,e,False
EB12AY1,17,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,16.0,2.0354335,a,False
EB12AY1,18,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,17.0,2.3610811,u,True
EB12AY1,19,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,18.0,4.2024183,a,False
EB12AY1,20,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,19.0,3.2199018,a,True
EB12AY1,21,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,20.0,2.1302423,o,True
EB12AY1,22,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,21.0,1.6895964,u,True
EB12AY1,23,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,22.0,2.1011965,u,True
EB12AY1,24,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,23.0,2.1106467,i,False
EB12AY1,25,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,24.0,2.0485592,i,True
EB12AY1,26,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,25.0,2.6540625,e,False
EB12AY1,27,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,26.0,3.4721565,o,False
EB12AY1,28,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,27.0,2.5067465,o,True
EB12AY1,29,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,28.0,1.6943371,e,False
EB12AY1,30,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,29.0,1.3490306,a,False
EB12AY1,31,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,30.0,4.0558963,a,True
EB12AY1,32,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,31.0,1.6495671,a,False
EB12AY1,33,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,32.0,3.0567706,a,False
