subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
ED21AD2,1,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,0.0,2.0166934,e,True
ED21AD2,2,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,1.0,1.7275203,e,True
ED21AD2,3,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,2.0,1.7227688,o,True
ED21AD2,4,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,3.0,1.9694952,e,False
ED21AD2,5,gestures/cat_S.mp4,n_se,o,G,cat,1.0,4.0,3.4428847,a,False
ED21AD2,6,gestures/frog_S.mp4,list_n,e,G,frog,1.0,5.0,4.944036,o,False
ED21AD2,7,gestures/car_S.mp4,whe_l,e,G,car,1.0,6.0,1.8606913,e,True
ED21AD2,8,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,7.0,1.7916521,e,True
ED21AD2,9,gestures/car_S.mp4,cr_sh,a,G,car,1.0,8.0,2.7680788,a,True
ED21AD2,10,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,9.0,2.8740902,i,False
ED21AD2,11,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,10.0,3.7660687,e,False
ED21AD2,12,gestures/car_S.mp4,m_ve,o,G,car,1.0,11.0,3.3904781,o,True
ED21AD2,13,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,12.0,1.8733772,a,True
ED21AD2,14,gestures/girl_S.mp4,h_g,u,G,girl,1.0,13.0,1.7716335,i,False
ED21AD2,15,gestures/car_S.mp4,wind_w,o,G,car,1.0,14.0,6.396072,i,False
ED21AD2,16,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,15.0,2.1689498,o,True
ED21AD2,17,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,16.0,3.029109,a,False
ED21AD2,18,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,17.0,4.1337476,i,True
ED21AD2,19,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,18.0,6.3940306,o,False
ED21AD2,20,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,19.0,1.8424772,u,True
ED21AD2,21,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,20.0,2.0142698,e,True
ED21AD2,22,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,21.0,2.7721858,a,True
