subject,session,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
AN05CA,1,1,gestures/cat_POS.mp4,n_se,o,S,cat,1,0,1.8621849,o,TRUE
AN05CA,1,2,gestures/girl_POS.mp4,dr_ss,e,S,girl,1,1,2.0097678,e,TRUE
AN05CA,1,3,gestures/frog_POS.mp4,tong_e,u,S,frog,1,2,2.252661,e,FALSE
AN05CA,1,4,gestures/frog_POS.mp4,fo_t,o,S,frog,1,3,1.6558136,o,TRUE
AN05CA,1,5,gestures/frog_PL.mp4,list_n,e,S,frog,1,4,1.9110137,e,TRUE
AN05CA,1,6,gestures/dog_POS.mp4,to_th,o,S,dog,1,5,3.6944518,u,FALSE
AN05CA,1,7,gestures/horse_POS.mp4,mo_th,u,S,horse,1,6,1.732753,u,TRUE
AN05CA,1,8,gestures/boy_PL.mp4,po_nt,i,S,boy,1,7,1.8891923,u,FALSE
AN05CA,1,9,gestures/girl_POS.mp4,ha_r,i,S,girl,1,8,3.0084145,e,FALSE
AN05CA,1,10,gestures/boy_POS.mp4,bo_k,o,S,boy,1,9,1.5768926,o,TRUE
AN05CA,1,11,gestures/girl_PL.mp4,h_g,u,S,girl,1,10,2.732338,o,FALSE
AN05CA,1,12,gestures/cat_PL.mp4,lo_k,o,S,cat,1,11,1.3419018,o,TRUE
AN05CA,1,13,gestures/car_PL.mp4,m_ve,o,S,car,1,12,2.1488957,o,TRUE
AN05CA,1,14,gestures/frog_PL.mp4,j_mp,u,S,frog,1,13,1.5846844,u,TRUE
AN05CA,1,15,gestures/car_POS.mp4,wind_w,o,S,car,1,14,1.6986533,o,TRUE
AN05CA,1,16,gestures/cat_POS.mp4,ta_l,i,S,cat,1,15,1.5239829,i,TRUE
AN05CA,1,17,gestures/horse_POS.mp4,h_ad,e,S,horse,1,16,2.3247986,e,TRUE
AN05CA,1,18,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1,17,1.7567334,i,TRUE
AN05CA,1,19,gestures/girl_PL.mp4,wh_stle,i,S,girl,1,18,2.4848006,i,TRUE
AN05CA,1,20,gestures/dog_PL.mp4,pl_y,a,S,dog,1,19,1.3906697,a,TRUE
AN05CA,1,21,gestures/baby_PL.mp4,sm_le,i,S,baby,1,20,1.7131108,i,TRUE
AN05CA,1,22,gestures/boy_PL.mp4,w_ve,a,S,boy,1,21,1.3374469,a,TRUE
AN05CA,1,23,gestures/baby_PL.mp4,cr_wl,a,S,baby,1,22,1.4845643,o,FALSE
AN05CA,1,24,gestures/car_PL.mp4,cr_sh,a,S,car,1,23,1.2740762,a,TRUE
AN05CA,1,25,gestures/baby_POS.mp4,t_ddy,e,S,baby,1,24,1.8348762,e,TRUE
