subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
HA28TH2,1,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,0.0,4.334442,e,False
HA28TH2,2,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,1.0,3.6860323,o,False
HA28TH2,3,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,2.0,4.028805,i,False
HA28TH2,4,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,3.0,3.5447028,e,True
HA28TH2,5,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,4.0,4.7595797,e,False
HA28TH2,6,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,5.0,4.6868377,e,False
HA28TH2,7,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,6.0,2.9468155,o,True
HA28TH2,8,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,7.0,2.616046,e,True
HA28TH2,9,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,8.0,4.068606,e,False
HA28TH2,10,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,9.0,3.327498,e,True
HA28TH2,11,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,10.0,2.1278315,o,True
HA28TH2,12,gestures/car_POS.mp4,whe_l,e,S,car,1.0,11.0,3.3062472,e,True
HA28TH2,13,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,12.0,3.97466,o,True
HA28TH2,14,gestures/car_PL.mp4,m_ve,o,S,car,1.0,13.0,2.6856954,o,True
HA28TH2,15,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,14.0,3.0369556,u,True
HA28TH2,16,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,15.0,4.0473146,i,True
HA28TH2,17,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,16.0,9.590735,u,True
HA28TH2,18,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,17.0,2.4928918,e,True
HA28TH2,19,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,18.0,4.818697,o,False
HA28TH2,20,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,19.0,6.8707876,i,True
HA28TH2,21,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,20.0,2.7424507,o,False
HA28TH2,22,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,21.0,3.0115223,e,True
HA28TH2,23,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,22.0,3.1214695,o,False
HA28TH2,24,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,23.0,2.3650277,o,True
HA28TH2,25,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,24.0,4.070968,e,True
HA28TH2,26,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,25.0,2.5891428,o,False
HA28TH2,27,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,26.0,8.059126,o,False
HA28TH2,28,gestures/car_POS.mp4,wind_w,o,S,car,1.0,27.0,2.206208,o,True
HA28TH2,29,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,28.0,2.3992705,a,False
HA28TH2,30,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,29.0,3.4502285,o,True
HA28TH2,31,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,30.0,5.142171,a,True
HA28TH2,32,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,31.0,4.7107186,a,False
HA28TH2,33,gestures/baby_S.mp4,bl_nket,a,G,baby,0.0,--,--,--,--
HA28TH2,34,gestures/car_S.mp4,m_ve,o,G,car,0.0,--,--,--,--
HA28TH2,35,gestures/boy_S.mp4,w_ve,a,G,boy,0.0,--,--,--,--
HA28TH2,36,gestures/cat_S.mp4,n_se,o,G,cat,0.0,--,--,--,--
HA28TH2,37,gestures/car_S.mp4,wind_w,o,G,car,0.0,--,--,--,--
HA28TH2,38,gestures/baby_S.mp4,t_ddy,e,G,baby,0.0,--,--,--,--
HA28TH2,39,gestures/boy_S.mp4,bo_k,o,G,boy,0.0,--,--,--,--
HA28TH2,40,gestures/baby_S.mp4,sm_le,i,G,baby,0.0,--,--,--,--
HA28TH2,41,gestures/cat_S.mp4,sl_ep,e,G,cat,0.0,--,--,--,--
HA28TH2,42,gestures/baby_S.mp4,cr_wl,a,G,baby,0.0,--,--,--,--
HA28TH2,43,gestures/cat_S.mp4,lo_k,o,G,cat,0.0,--,--,--,--
HA28TH2,44,gestures/frog_S.mp4,fo_t,o,G,frog,0.0,--,--,--,--
HA28TH2,45,gestures/frog_S.mp4,tong_e,u,G,frog,0.0,--,--,--,--
HA28TH2,46,gestures/frog_S.mp4,j_mp,u,G,frog,0.0,--,--,--,--
HA28TH2,47,gestures/cat_S.mp4,ta_l,i,G,cat,0.0,--,--,--,--
HA28TH2,48,gestures/horse_S.mp4,w_lk,a,G,horse,0.0,--,--,--,--
HA28TH2,49,gestures/boy_S.mp4,t-sh_rt,i,G,boy,0.0,--,--,--,--
HA28TH2,50,gestures/horse_S.mp4,h_ad,e,G,horse,0.0,--,--,--,--
HA28TH2,51,gestures/dog_S.mp4,b_rk,a,G,dog,0.0,--,--,--,--
HA28TH2,52,gestures/girl_S.mp4,ha_r,i,G,girl,0.0,--,--,--,--
HA28TH2,53,gestures/girl_S.mp4,dr_ss,e,G,girl,0.0,--,--,--,--
HA28TH2,54,gestures/frog_S.mp4,list_n,e,G,frog,0.0,--,--,--,--
HA28TH2,55,gestures/dog_S.mp4,n_ck,e,G,dog,0.0,--,--,--,--
HA28TH2,56,gestures/horse_S.mp4,k_ck,i,G,horse,0.0,--,--,--,--
HA28TH2,57,gestures/boy_S.mp4,po_nt,i,G,boy,0.0,--,--,--,--
HA28TH2,58,gestures/car_S.mp4,cr_sh,a,G,car,0.0,--,--,--,--
HA28TH2,59,gestures/girl_S.mp4,wh_stle,i,G,girl,0.0,--,--,--,--
HA28TH2,60,gestures/girl_S.mp4,h_g,u,G,girl,0.0,--,--,--,--
HA28TH2,61,gestures/dog_S.mp4,pl_y,a,G,dog,0.0,--,--,--,--
HA28TH2,62,gestures/dog_S.mp4,to_th,o,G,dog,0.0,--,--,--,--
HA28TH2,63,gestures/horse_S.mp4,mo_th,u,G,horse,0.0,--,--,--,--
HA28TH2,64,gestures/car_S.mp4,whe_l,e,G,car,0.0,--,--,--,--
