subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
HA28TH2HA28TH2,1,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,0.0,4.958897,o,False
HA28TH2HA28TH2,2,gestures/car_S.mp4,m_ve,o,G,car,1.0,1.0,5.250269,u,False
HA28TH2HA28TH2,3,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,2.0,1.9494292,i,True
HA28TH2HA28TH2,4,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,3.0,2.465293,e,True
HA28TH2HA28TH2,5,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,4.0,3.5089643,e,False
HA28TH2HA28TH2,6,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,5.0,2.9275444,o,False
HA28TH2HA28TH2,7,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,6.0,4.307173,o,False
HA28TH2HA28TH2,8,gestures/dog_S.mp4,to_th,o,G,dog,1.0,7.0,5.3934827,u,False
HA28TH2HA28TH2,9,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,8.0,2.817304,e,True
HA28TH2HA28TH2,10,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,9.0,2.491548,i,True
HA28TH2HA28TH2,11,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,10.0,3.3385694,u,True
HA28TH2HA28TH2,12,gestures/car_S.mp4,wind_w,o,G,car,1.0,11.0,2.3520617,o,True
HA28TH2HA28TH2,13,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,12.0,2.2772176,e,True
HA28TH2HA28TH2,14,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,13.0,3.3061,a,True
HA28TH2HA28TH2,15,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,14.0,3.7349248,o,True
HA28TH2HA28TH2,16,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,15.0,3.9861417,a,False
HA28TH2HA28TH2,17,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,16.0,2.0135238,o,True
HA28TH2HA28TH2,18,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,17.0,4.2565923,i,True
HA28TH2HA28TH2,19,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,18.0,2.3309624,a,True
HA28TH2HA28TH2,20,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,19.0,3.022457,i,False
HA28TH2HA28TH2,21,gestures/car_S.mp4,whe_l,e,G,car,1.0,20.0,4.4348526,e,True
HA28TH2HA28TH2,22,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,21.0,2.572025,i,True
HA28TH2HA28TH2,23,gestures/cat_S.mp4,n_se,o,G,cat,1.0,22.0,1.4812932,o,True
HA28TH2HA28TH2,24,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,23.0,1.8662163,o,False
HA28TH2HA28TH2,25,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,24.0,3.2885022,a,True
HA28TH2HA28TH2,26,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,25.0,5.380996,i,True
HA28TH2HA28TH2,27,gestures/frog_S.mp4,list_n,e,G,frog,1.0,26.0,3.48506,e,True
HA28TH2HA28TH2,28,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,27.0,2.7053041,u,True
HA28TH2HA28TH2,29,gestures/car_S.mp4,cr_sh,a,G,car,1.0,28.0,3.142765,o,False
HA28TH2HA28TH2,30,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,29.0,1.5996913,o,True
HA28TH2HA28TH2,31,gestures/girl_S.mp4,h_g,u,G,girl,1.0,30.0,5.929335,a,False
HA28TH2HA28TH2,32,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,31.0,3.0529704,a,False
HA28TH2HA28TH2,33,gestures/boy_PL.mp4,w_ve,a,S,boy,0.0,--,--,--,--
HA28TH2HA28TH2,34,gestures/cat_PL.mp4,sl_ep,e,S,cat,0.0,--,--,--,--
HA28TH2HA28TH2,35,gestures/girl_POS.mp4,ha_r,i,S,girl,0.0,--,--,--,--
HA28TH2HA28TH2,36,gestures/car_POS.mp4,wind_w,o,S,car,0.0,--,--,--,--
HA28TH2HA28TH2,37,gestures/girl_PL.mp4,h_g,u,S,girl,0.0,--,--,--,--
HA28TH2HA28TH2,38,gestures/horse_POS.mp4,mo_th,u,S,horse,0.0,--,--,--,--
HA28TH2HA28TH2,39,gestures/baby_POS.mp4,bl_nket,a,S,baby,0.0,--,--,--,--
HA28TH2HA28TH2,40,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,0.0,--,--,--,--
HA28TH2HA28TH2,41,gestures/horse_PL.mp4,w_lk,a,S,horse,0.0,--,--,--,--
HA28TH2HA28TH2,42,gestures/dog_POS.mp4,n_ck,e,S,dog,0.0,--,--,--,--
HA28TH2HA28TH2,43,gestures/frog_PL.mp4,j_mp,u,S,frog,0.0,--,--,--,--
HA28TH2HA28TH2,44,gestures/frog_POS.mp4,tong_e,u,S,frog,0.0,--,--,--,--
HA28TH2HA28TH2,45,gestures/frog_PL.mp4,list_n,e,S,frog,0.0,--,--,--,--
HA28TH2HA28TH2,46,gestures/baby_PL.mp4,sm_le,i,S,baby,0.0,--,--,--,--
HA28TH2HA28TH2,47,gestures/horse_PL.mp4,k_ck,i,S,horse,0.0,--,--,--,--
HA28TH2HA28TH2,48,gestures/car_PL.mp4,m_ve,o,S,car,0.0,--,--,--,--
HA28TH2HA28TH2,49,gestures/dog_PL.mp4,pl_y,a,S,dog,0.0,--,--,--,--
HA28TH2HA28TH2,50,gestures/cat_POS.mp4,n_se,o,S,cat,0.0,--,--,--,--
HA28TH2HA28TH2,51,gestures/horse_POS.mp4,h_ad,e,S,horse,0.0,--,--,--,--
HA28TH2HA28TH2,52,gestures/boy_PL.mp4,po_nt,i,S,boy,0.0,--,--,--,--
HA28TH2HA28TH2,53,gestures/car_PL.mp4,cr_sh,a,S,car,0.0,--,--,--,--
HA28TH2HA28TH2,54,gestures/baby_PL.mp4,cr_wl,a,S,baby,0.0,--,--,--,--
HA28TH2HA28TH2,55,gestures/dog_PL.mp4,b_rk,a,S,dog,0.0,--,--,--,--
HA28TH2HA28TH2,56,gestures/car_POS.mp4,whe_l,e,S,car,0.0,--,--,--,--
HA28TH2HA28TH2,57,gestures/cat_PL.mp4,lo_k,o,S,cat,0.0,--,--,--,--
HA28TH2HA28TH2,58,gestures/girl_PL.mp4,wh_stle,i,S,girl,0.0,--,--,--,--
HA28TH2HA28TH2,59,gestures/boy_POS.mp4,bo_k,o,S,boy,0.0,--,--,--,--
HA28TH2HA28TH2,60,gestures/cat_POS.mp4,ta_l,i,S,cat,0.0,--,--,--,--
HA28TH2HA28TH2,61,gestures/frog_POS.mp4,fo_t,o,S,frog,0.0,--,--,--,--
HA28TH2HA28TH2,62,gestures/girl_POS.mp4,dr_ss,e,S,girl,0.0,--,--,--,--
HA28TH2HA28TH2,63,gestures/baby_POS.mp4,t_ddy,e,S,baby,0.0,--,--,--,--
HA28TH2HA28TH2,64,gestures/dog_POS.mp4,to_th,o,S,dog,0.0,--,--,--,--
