subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
HE30DI1,1,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,0.0,2.5003307,u,False
HE30DI1,2,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,1.0,4.843671,u,False
HE30DI1,3,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,2.0,3.374557,i,True
HE30DI1,4,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,3.0,2.303645,i,True
HE30DI1,5,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,4.0,4.123637,i,True
HE30DI1,6,gestures/car_POS.mp4,wind_w,o,S,car,1.0,5.0,3.384537,o,True
HE30DI1,7,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,6.0,2.6042438,i,True
HE30DI1,8,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,7.0,1.5516545,o,True
HE30DI1,9,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,8.0,2.217945,i,True
HE30DI1,10,gestures/car_POS.mp4,whe_l,e,S,car,1.0,9.0,4.404803,e,True
HE30DI1,11,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,10.0,2.9243808,e,True
HE30DI1,12,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,11.0,10.224715,e,False
HE30DI1,13,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,12.0,1.555561,i,True
HE30DI1,14,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,13.0,3.4694834,e,True
HE30DI1,15,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,14.0,2.4751961,e,True
HE30DI1,16,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,15.0,1.9914024,e,True
HE30DI1,17,gestures/car_PL.mp4,m_ve,o,S,car,1.0,16.0,1.9129683,o,True
HE30DI1,18,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,17.0,2.0388577,a,True
HE30DI1,19,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,18.0,2.923544,e,False
HE30DI1,20,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,19.0,2.5573542,e,True
HE30DI1,21,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,20.0,2.9566936,u,True
HE30DI1,22,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,21.0,2.3111753,a,True
HE30DI1,23,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,22.0,1.5308714,o,True
HE30DI1,24,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,23.0,1.4714236,a,True
HE30DI1,25,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,24.0,2.232948,e,False
HE30DI1,26,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,25.0,1.9364042,o,True
HE30DI1,27,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,26.0,1.4120433,a,True
HE30DI1,28,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,27.0,1.5754585,e,True
HE30DI1,29,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,28.0,2.1838326,o,True
HE30DI1,30,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,29.0,2.791754,u,True
HE30DI1,31,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,30.0,6.8873305,e,False
HE30DI1,32,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,31.0,1.5920435,u,True
HE30DI1,33,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,32.0,3.2356024,u,True
HE30DI1,34,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,33.0,1.79131,e,True
HE30DI1,35,gestures/frog_S.mp4,list_n,e,G,frog,1.0,34.0,2.337581,e,True
HE30DI1,36,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,35.0,2.0394816,a,True
HE30DI1,37,gestures/car_S.mp4,m_ve,o,G,car,1.0,36.0,2.8128855,o,True
HE30DI1,38,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,37.0,1.3482453,u,True
HE30DI1,39,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,38.0,7.1396785,u,False
HE30DI1,40,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,39.0,1.5316758,o,True
HE30DI1,41,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,40.0,3.570333,a,True
HE30DI1,42,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,41.0,1.9348547,i,True
HE30DI1,43,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,42.0,2.7124164,u,True
HE30DI1,44,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,43.0,1.7116642,o,True
HE30DI1,45,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,44.0,1.3293706,a,True
HE30DI1,46,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,45.0,3.755428,e,False
HE30DI1,47,gestures/girl_S.mp4,h_g,u,G,girl,1.0,46.0,1.5828557,u,True
HE30DI1,48,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,47.0,2.0757463,e,True
HE30DI1,49,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,48.0,2.5481107,e,True
HE30DI1,50,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,49.0,3.5070803,e,False
HE30DI1,51,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,50.0,2.4651759,e,True
HE30DI1,52,gestures/dog_S.mp4,to_th,o,G,dog,1.0,51.0,2.0239,o,True
HE30DI1,53,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,52.0,1.8226918,i,True
HE30DI1,54,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,53.0,2.6986477,a,True
HE30DI1,55,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,54.0,3.7749476,i,True
HE30DI1,56,gestures/car_S.mp4,cr_sh,a,G,car,1.0,55.0,2.2595575,a,True
HE30DI1,57,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,56.0,1.6619172,i,True
HE30DI1,58,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,57.0,2.09241,a,True
HE30DI1,59,gestures/car_S.mp4,whe_l,e,G,car,1.0,58.0,2.3051107,e,True
HE30DI1,60,gestures/cat_S.mp4,n_se,o,G,cat,1.0,59.0,2.3861084,o,True
HE30DI1,61,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,60.0,2.4904928,o,True
HE30DI1,62,gestures/car_S.mp4,wind_w,o,G,car,1.0,61.0,2.4008842,o,True
HE30DI1,63,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,62.0,1.7469578,i,True
HE30DI1,64,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,63.0,2.7940814,e,True
