subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
HE30DI2HE30DI2,1,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,0.0,4.1465697,u,True
HE30DI2HE30DI2,2,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,1.0,2.4024825,u,True
HE30DI2HE30DI2,3,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,2.0,1.2563909,u,True
HE30DI2HE30DI2,4,gestures/car_POS.mp4,whe_l,e,S,car,1.0,3.0,1.338555,e,True
HE30DI2HE30DI2,5,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,4.0,1.143753,e,True
HE30DI2HE30DI2,6,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,5.0,1.8479975,e,True
HE30DI2HE30DI2,7,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,6.0,1.1253561,e,True
HE30DI2HE30DI2,8,gestures/car_POS.mp4,wind_w,o,S,car,1.0,7.0,2.7494423,o,True
HE30DI2HE30DI2,9,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,8.0,1.4166178,i,True
HE30DI2HE30DI2,10,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,9.0,1.9005736,e,True
HE30DI2HE30DI2,11,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,10.0,1.6560992,a,True
HE30DI2HE30DI2,12,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,11.0,3.2355692,i,True
HE30DI2HE30DI2,13,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,12.0,1.4381659,i,True
HE30DI2HE30DI2,14,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,13.0,2.4079635,e,False
HE30DI2HE30DI2,15,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,14.0,1.3080026,a,True
HE30DI2HE30DI2,16,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,15.0,1.2495563,e,True
HE30DI2HE30DI2,17,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,16.0,1.6096888,o,True
HE30DI2HE30DI2,18,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,17.0,1.1703093,e,True
HE30DI2HE30DI2,19,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,18.0,1.0673358,a,True
HE30DI2HE30DI2,20,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,19.0,1.0910517,o,True
HE30DI2HE30DI2,21,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,20.0,1.175553,a,True
HE30DI2HE30DI2,22,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,21.0,4.3512983,u,False
HE30DI2HE30DI2,23,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,22.0,3.7611034,e,False
HE30DI2HE30DI2,24,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,23.0,2.1028295,i,True
HE30DI2HE30DI2,25,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,24.0,1.1074157,i,True
HE30DI2HE30DI2,26,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,25.0,1.460207,i,True
HE30DI2HE30DI2,27,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,26.0,1.1050652,o,True
HE30DI2HE30DI2,28,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,27.0,1.3634968,u,True
HE30DI2HE30DI2,29,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,28.0,1.6535077,e,False
HE30DI2HE30DI2,30,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,29.0,2.4608269,a,True
HE30DI2HE30DI2,31,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,30.0,1.0362483,o,True
HE30DI2HE30DI2,32,gestures/car_PL.mp4,m_ve,o,S,car,1.0,31.0,1.8316934,a,False
HE30DI2HE30DI2,33,gestures/frog_S.mp4,j_mp,u,G,frog,0.0,--,--,--,--
HE30DI2HE30DI2,34,gestures/cat_S.mp4,sl_ep,e,G,cat,0.0,--,--,--,--
HE30DI2HE30DI2,35,gestures/car_S.mp4,whe_l,e,G,car,0.0,--,--,--,--
HE30DI2HE30DI2,36,gestures/cat_S.mp4,n_se,o,G,cat,0.0,--,--,--,--
HE30DI2HE30DI2,37,gestures/frog_S.mp4,list_n,e,G,frog,0.0,--,--,--,--
HE30DI2HE30DI2,38,gestures/dog_S.mp4,b_rk,a,G,dog,0.0,--,--,--,--
HE30DI2HE30DI2,39,gestures/dog_S.mp4,n_ck,e,G,dog,0.0,--,--,--,--
HE30DI2HE30DI2,40,gestures/frog_S.mp4,fo_t,o,G,frog,0.0,--,--,--,--
HE30DI2HE30DI2,41,gestures/girl_S.mp4,dr_ss,e,G,girl,0.0,--,--,--,--
HE30DI2HE30DI2,42,gestures/horse_S.mp4,w_lk,a,G,horse,0.0,--,--,--,--
HE30DI2HE30DI2,43,gestures/baby_S.mp4,bl_nket,a,G,baby,0.0,--,--,--,--
HE30DI2HE30DI2,44,gestures/car_S.mp4,cr_sh,a,G,car,0.0,--,--,--,--
HE30DI2HE30DI2,45,gestures/cat_S.mp4,ta_l,i,G,cat,0.0,--,--,--,--
HE30DI2HE30DI2,46,gestures/girl_S.mp4,wh_stle,i,G,girl,0.0,--,--,--,--
HE30DI2HE30DI2,47,gestures/cat_S.mp4,lo_k,o,G,cat,0.0,--,--,--,--
HE30DI2HE30DI2,48,gestures/frog_S.mp4,tong_e,u,G,frog,0.0,--,--,--,--
HE30DI2HE30DI2,49,gestures/dog_S.mp4,to_th,o,G,dog,0.0,--,--,--,--
HE30DI2HE30DI2,50,gestures/horse_S.mp4,mo_th,u,G,horse,0.0,--,--,--,--
HE30DI2HE30DI2,51,gestures/boy_S.mp4,po_nt,i,G,boy,0.0,--,--,--,--
HE30DI2HE30DI2,52,gestures/girl_S.mp4,h_g,u,G,girl,0.0,--,--,--,--
HE30DI2HE30DI2,53,gestures/boy_S.mp4,w_ve,a,G,boy,0.0,--,--,--,--
HE30DI2HE30DI2,54,gestures/girl_S.mp4,ha_r,i,G,girl,0.0,--,--,--,--
HE30DI2HE30DI2,55,gestures/dog_S.mp4,pl_y,a,G,dog,0.0,--,--,--,--
HE30DI2HE30DI2,56,gestures/baby_S.mp4,cr_wl,a,G,baby,0.0,--,--,--,--
HE30DI2HE30DI2,57,gestures/car_S.mp4,m_ve,o,G,car,0.0,--,--,--,--
HE30DI2HE30DI2,58,gestures/horse_S.mp4,k_ck,i,G,horse,0.0,--,--,--,--
HE30DI2HE30DI2,59,gestures/boy_S.mp4,t-sh_rt,i,G,boy,0.0,--,--,--,--
HE30DI2HE30DI2,60,gestures/horse_S.mp4,h_ad,e,G,horse,0.0,--,--,--,--
HE30DI2HE30DI2,61,gestures/car_S.mp4,wind_w,o,G,car,0.0,--,--,--,--
HE30DI2HE30DI2,62,gestures/boy_S.mp4,bo_k,o,G,boy,0.0,--,--,--,--
HE30DI2HE30DI2,63,gestures/baby_S.mp4,t_ddy,e,G,baby,0.0,--,--,--,--
HE30DI2HE30DI2,64,gestures/baby_S.mp4,sm_le,i,G,baby,0.0,--,--,--,--
