subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
JA34KA1,1,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,0.0,2.0065274,o,True
JA34KA1,2,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,1.0,1.4067634,a,True
JA34KA1,3,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,2.0,1.6656203,a,True
JA34KA1,4,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,3.0,1.777927,i,True
JA34KA1,5,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,4.0,1.506687,i,True
JA34KA1,6,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,5.0,1.8877726,e,True
JA34KA1,7,gestures/car_PL.mp4,m_ve,o,S,car,1.0,6.0,1.6398988,o,True
JA34KA1,8,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,7.0,1.566613,o,True
JA34KA1,9,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,8.0,1.6429663,i,False
JA34KA1,10,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,9.0,1.4514068,i,True
JA34KA1,11,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,10.0,3.3104982,a,False
JA34KA1,12,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,11.0,1.5045757,a,True
JA34KA1,13,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,12.0,1.6790982,o,False
JA34KA1,14,gestures/car_POS.mp4,whe_l,e,S,car,1.0,13.0,7.7316537,a,False
JA34KA1,15,gestures/car_POS.mp4,wind_w,o,S,car,1.0,14.0,1.7419674,o,True
JA34KA1,16,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,15.0,1.6795694,i,True
JA34KA1,17,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,16.0,1.8108081,e,True
JA34KA1,18,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,17.0,1.8299749,e,True
JA34KA1,19,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,18.0,1.5080572,o,True
JA34KA1,20,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,19.0,1.4698963,e,True
JA34KA1,21,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,20.0,2.7060125,i,False
JA34KA1,22,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,21.0,1.4539886,e,True
JA34KA1,23,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,22.0,1.6806808,i,True
JA34KA1,24,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,23.0,2.0992827,i,True
JA34KA1,25,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,24.0,1.5160815,a,True
JA34KA1,26,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,25.0,2.342232,e,True
JA34KA1,27,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,26.0,2.820078,i,True
JA34KA1,28,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,27.0,6.1591687,u,True
JA34KA1,29,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,28.0,1.6938479,u,True
JA34KA1,30,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,29.0,1.5088823,a,True
JA34KA1,31,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,30.0,1.932315,o,True
JA34KA1,32,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,31.0,1.6487595,o,True
JA34KA1,33,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,32.0,1.6819123,o,False
JA34KA1,34,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,33.0,1.3534461,o,True
JA34KA1,35,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,34.0,1.3038251,a,True
JA34KA1,36,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,35.0,1.3725348,e,True
JA34KA1,37,gestures/car_S.mp4,whe_l,e,G,car,1.0,36.0,1.6101177,e,True
JA34KA1,38,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,37.0,1.2119737,i,True
JA34KA1,39,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,38.0,1.3232416,a,True
JA34KA1,40,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,39.0,1.6906401,u,True
JA34KA1,41,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,40.0,1.4609616,o,True
JA34KA1,42,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,41.0,1.3275266,o,True
JA34KA1,43,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,42.0,1.7027109,e,True
JA34KA1,44,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,43.0,1.3032621,a,True
JA34KA1,45,gestures/dog_S.mp4,to_th,o,G,dog,1.0,44.0,1.4469754,o,True
JA34KA1,46,gestures/cat_S.mp4,n_se,o,G,cat,1.0,45.0,1.4173914,o,True
JA34KA1,47,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,46.0,1.4604144,e,True
JA34KA1,48,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,47.0,1.391963,i,True
JA34KA1,49,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,48.0,1.4191556,i,False
JA34KA1,50,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,49.0,1.8474915,u,True
JA34KA1,51,gestures/car_S.mp4,wind_w,o,G,car,1.0,50.0,1.4904039,o,True
JA34KA1,52,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,51.0,1.4342862,i,True
JA34KA1,53,gestures/frog_S.mp4,list_n,e,G,frog,1.0,52.0,1.8506999,e,True
JA34KA1,54,gestures/car_S.mp4,m_ve,o,G,car,1.0,53.0,1.3666431,o,True
JA34KA1,55,gestures/girl_S.mp4,h_g,u,G,girl,1.0,54.0,1.4873343,u,True
JA34KA1,56,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,55.0,1.3304484,i,True
JA34KA1,57,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,56.0,1.2684327,i,True
JA34KA1,58,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,57.0,1.9401379,e,True
JA34KA1,59,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,58.0,1.8461008,a,True
JA34KA1,60,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,59.0,1.8551795,i,True
JA34KA1,61,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,60.0,3.2554815,i,True
JA34KA1,62,gestures/car_S.mp4,cr_sh,a,G,car,1.0,61.0,1.4073822,a,True
JA34KA1,63,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,62.0,1.2690784,a,True
JA34KA1,64,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,63.0,1.4822075,e,True
