subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
JE17AL2,1,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,0.0,2.0899942,a,True
JE17AL2,2,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,1.0,1.917878,a,True
JE17AL2,3,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,2.0,1.690173,e,True
JE17AL2,4,gestures/car_S.mp4,wind_w,o,G,car,1.0,3.0,1.914731,o,True
JE17AL2,5,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,4.0,1.3132749,a,True
JE17AL2,6,gestures/dog_S.mp4,to_th,o,G,dog,1.0,5.0,1.7490145,u,False
JE17AL2,7,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,6.0,1.4001781,o,True
JE17AL2,8,gestures/frog_S.mp4,list_n,e,G,frog,1.0,7.0,2.9531722,i,False
JE17AL2,9,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,8.0,1.4774795,o,True
JE17AL2,10,gestures/girl_S.mp4,h_g,u,G,girl,1.0,9.0,3.4713526,u,True
JE17AL2,11,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,10.0,1.8726776,e,True
JE17AL2,12,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,11.0,1.6861196,u,True
JE17AL2,13,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,12.0,1.2928805,a,True
JE17AL2,14,gestures/car_S.mp4,whe_l,e,G,car,1.0,13.0,2.0282712,e,True
JE17AL2,15,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,14.0,1.3867046,e,True
JE17AL2,16,gestures/car_S.mp4,m_ve,o,G,car,1.0,15.0,1.5730808,o,True
JE17AL2,17,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,16.0,1.9161426,a,True
JE17AL2,18,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,17.0,4.4816475,o,False
JE17AL2,19,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,18.0,2.1700342,i,True
JE17AL2,20,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,19.0,1.2226818,o,True
JE17AL2,21,gestures/cat_S.mp4,n_se,o,G,cat,1.0,20.0,1.2409143,o,True
JE17AL2,22,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,21.0,2.3209748,i,True
JE17AL2,23,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,22.0,1.9604819,e,True
JE17AL2,24,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,23.0,1.6327847,i,True
JE17AL2,25,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,24.0,1.4240397,e,True
JE17AL2,26,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,25.0,1.8454782,e,False
JE17AL2,27,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,26.0,1.2943611,i,True
JE17AL2,28,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,27.0,2.7311747,i,True
JE17AL2,29,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,28.0,3.5171895,a,True
JE17AL2,30,gestures/car_S.mp4,cr_sh,a,G,car,1.0,29.0,1.6726327,a,True
JE17AL2,31,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,30.0,1.4574356,i,True
JE17AL2,32,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,31.0,1.3255671,u,True
JE17AL2,33,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,32.0,1.3772852,i,True
JE17AL2,34,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,33.0,1.2933731,i,True
JE17AL2,35,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,34.0,1.2650466,e,True
JE17AL2,36,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,35.0,1.1238948,o,True
JE17AL2,37,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,36.0,1.4595263,a,True
JE17AL2,38,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,37.0,1.2182295,a,True
JE17AL2,39,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,38.0,1.3541011,a,True
JE17AL2,40,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,39.0,1.4241757,e,True
JE17AL2,41,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,40.0,1.4328514,i,True
JE17AL2,42,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,41.0,1.1710087,o,True
JE17AL2,43,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,42.0,1.2580682,a,True
JE17AL2,44,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,43.0,1.799172,a,True
JE17AL2,45,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,44.0,3.568895,o,True
JE17AL2,46,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,45.0,1.216983,o,True
JE17AL2,47,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,46.0,1.619449,u,True
JE17AL2,48,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,47.0,1.1971542,a,True
JE17AL2,49,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,48.0,1.880092,i,True
JE17AL2,50,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,49.0,3.2442825,i,True
JE17AL2,51,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,50.0,1.2041284,i,True
JE17AL2,52,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,51.0,1.1039611,a,True
JE17AL2,53,gestures/car_POS.mp4,whe_l,e,S,car,1.0,52.0,1.465246,e,True
JE17AL2,54,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,53.0,3.0983794,e,True
JE17AL2,55,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,54.0,2.317105,e,True
JE17AL2,56,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,55.0,1.7281599,u,True
JE17AL2,57,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,56.0,1.5788299,e,True
JE17AL2,58,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,57.0,2.077092,u,True
JE17AL2,59,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,58.0,1.2536693,i,True
JE17AL2,60,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,59.0,1.4135097,e,True
JE17AL2,61,gestures/car_POS.mp4,wind_w,o,S,car,1.0,60.0,3.3553212,o,True
JE17AL2,62,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,61.0,1.2229137,u,True
