subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
KA14RA1,1,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,0.0,4.1611013,u,True
KA14RA1,2,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,1.0,2.868591,e,False
KA14RA1,3,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,2.0,3.115682,a,False
KA14RA1,4,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,3.0,2.6320364,e,True
KA14RA1,5,gestures/frog_S.mp4,list_n,e,G,frog,1.0,4.0,2.6387115,i,False
KA14RA1,6,gestures/girl_S.mp4,h_g,u,G,girl,1.0,5.0,2.0355165,a,False
KA14RA1,7,gestures/cat_S.mp4,n_se,o,G,cat,1.0,6.0,1.5891494,o,True
KA14RA1,8,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,7.0,1.6603211,e,True
KA14RA1,9,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,8.0,1.9216236,i,True
KA14RA1,10,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,9.0,1.8269308,e,True
KA14RA1,11,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,10.0,1.7614675,a,True
KA14RA1,12,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,11.0,3.2479193,e,False
KA14RA1,13,gestures/car_S.mp4,m_ve,o,G,car,1.0,12.0,1.5149807,a,False
KA14RA1,14,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,13.0,3.6221962,e,False
KA14RA1,15,gestures/car_S.mp4,wind_w,o,G,car,1.0,14.0,2.5464277,o,True
KA14RA1,16,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,15.0,2.0909612,i,True
KA14RA1,17,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,16.0,1.2337761,a,True
KA14RA1,18,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,17.0,1.450402,o,True
KA14RA1,19,gestures/dog_S.mp4,to_th,o,G,dog,1.0,18.0,1.5545459,o,True
KA14RA1,20,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,19.0,1.7304267,i,False
KA14RA1,21,gestures/car_S.mp4,cr_sh,a,G,car,1.0,20.0,1.5057452,a,True
KA14RA1,22,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,21.0,2.9130392,e,True
KA14RA1,23,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,22.0,1.4322615,a,True
KA14RA1,24,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,23.0,3.3425899,e,False
KA14RA1,25,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,24.0,1.2554444,o,True
KA14RA1,26,gestures/car_S.mp4,whe_l,e,G,car,1.0,25.0,2.0394628,a,False
KA14RA1,27,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,26.0,2.245142,i,True
KA14RA1,28,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,27.0,2.08559,i,True
KA14RA1,29,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,28.0,2.0200026,u,True
KA14RA1,30,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,29.0,1.697333,u,True
KA14RA1,31,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,30.0,1.8225511,o,True
KA14RA1,32,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,31.0,2.2164776,a,True
KA14RA1,33,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,32.0,2.3831644,o,False
KA14RA1,34,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,33.0,1.6835823,i,False
KA14RA1,35,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,34.0,5.089399,e,True
KA14RA1,36,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,35.0,1.6197969,o,True
KA14RA1,37,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,36.0,1.2778094,i,True
KA14RA1,38,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,37.0,1.3525044,i,True
KA14RA1,39,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,38.0,1.8665196,i,False
KA14RA1,40,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,39.0,2.4537907,e,True
KA14RA1,41,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,40.0,1.8793567,o,True
KA14RA1,42,gestures/car_POS.mp4,whe_l,e,S,car,1.0,41.0,2.1945693,a,False
KA14RA1,43,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,42.0,1.9536692,i,True
