subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
MA10OL2,1,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,0.0,0.9905776,i,True
MA10OL2,2,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,1.0,1.1095651,u,True
MA10OL2,3,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,2.0,0.9320047,i,True
MA10OL2,4,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,3.0,1.0618494,o,True
MA10OL2,5,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,4.0,1.0388218,e,True
MA10OL2,6,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,5.0,1.3018562,i,True
MA10OL2,7,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,6.0,0.59373873,e,True
MA10OL2,8,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,7.0,1.0857236,i,True
MA10OL2,9,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,8.0,1.0862277,a,True
MA10OL2,10,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,9.0,1.1181238,o,True
MA10OL2,11,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,10.0,0.9970817,a,True
MA10OL2,12,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,11.0,0.942378,e,True
MA10OL2,13,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,12.0,0.51678216,a,True
MA10OL2,14,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,13.0,1.196315,a,True
MA10OL2,15,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,14.0,1.0804131,i,True
MA10OL2,16,gestures/car_POS.mp4,whe_l,e,S,car,1.0,15.0,1.3289,e,True
MA10OL2,17,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,16.0,1.7034171,e,True
MA10OL2,18,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,17.0,0.9027578,i,True
MA10OL2,19,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,18.0,0.9070788,o,True
MA10OL2,20,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,19.0,1.1127782,u,True
MA10OL2,21,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,20.0,1.097554,o,True
MA10OL2,22,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,21.0,1.077476,a,True
MA10OL2,23,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,22.0,0.98195475,a,True
MA10OL2,24,gestures/car_POS.mp4,wind_w,o,S,car,1.0,23.0,1.0680484,o,True
MA10OL2,25,gestures/car_PL.mp4,m_ve,o,S,car,1.0,24.0,0.8439326,o,True
MA10OL2,26,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,25.0,1.221298,a,True
MA10OL2,27,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,26.0,1.0191027,u,True
MA10OL2,28,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,27.0,0.9712593,i,True
MA10OL2,29,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,28.0,1.307962,e,True
MA10OL2,30,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,29.0,2.0035028,e,True
MA10OL2,31,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,30.0,0.8441785,o,True
MA10OL2,32,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,31.0,1.0762501,u,True
MA10OL2,33,gestures/boy_S.mp4,t-sh_rt,i,G,boy,0.0,--,--,--,--
MA10OL2,34,gestures/horse_S.mp4,mo_th,u,G,horse,0.0,--,--,--,--
MA10OL2,35,gestures/car_S.mp4,m_ve,o,G,car,0.0,--,--,--,--
MA10OL2,36,gestures/cat_S.mp4,ta_l,i,G,cat,0.0,--,--,--,--
MA10OL2,37,gestures/frog_S.mp4,list_n,e,G,frog,0.0,--,--,--,--
MA10OL2,38,gestures/dog_S.mp4,b_rk,a,G,dog,0.0,--,--,--,--
MA10OL2,39,gestures/car_S.mp4,wind_w,o,G,car,0.0,--,--,--,--
MA10OL2,40,gestures/girl_S.mp4,h_g,u,G,girl,0.0,--,--,--,--
MA10OL2,41,gestures/boy_S.mp4,bo_k,o,G,boy,0.0,--,--,--,--
MA10OL2,42,gestures/frog_S.mp4,j_mp,u,G,frog,0.0,--,--,--,--
MA10OL2,43,gestures/baby_S.mp4,sm_le,i,G,baby,0.0,--,--,--,--
MA10OL2,44,gestures/car_S.mp4,whe_l,e,G,car,0.0,--,--,--,--
MA10OL2,45,gestures/frog_S.mp4,fo_t,o,G,frog,0.0,--,--,--,--
MA10OL2,46,gestures/frog_S.mp4,tong_e,u,G,frog,0.0,--,--,--,--
MA10OL2,47,gestures/girl_S.mp4,wh_stle,i,G,girl,0.0,--,--,--,--
