subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
NA10RE2,1,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,0.0,1.980656,i,True
NA10RE2,2,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,1.0,1.8226758,a,True
NA10RE2,3,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,2.0,1.6677947,a,True
NA10RE2,4,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,3.0,3.2790358,u,True
NA10RE2,5,gestures/dog_S.mp4,to_th,o,G,dog,1.0,4.0,2.1521645,u,False
NA10RE2,6,gestures/car_S.mp4,wind_w,o,G,car,1.0,5.0,1.5408509,o,True
NA10RE2,7,gestures/car_S.mp4,cr_sh,a,G,car,1.0,6.0,1.2623254,a,True
NA10RE2,8,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,7.0,2.3830504,i,True
NA10RE2,9,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,8.0,1.648084,i,True
NA10RE2,10,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,9.0,1.7341925,a,True
NA10RE2,11,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,10.0,2.0667763,e,True
NA10RE2,12,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,11.0,1.8287442,e,True
NA10RE2,13,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,12.0,2.1391032,e,True
NA10RE2,14,gestures/car_S.mp4,whe_l,e,G,car,1.0,13.0,2.311187,e,True
NA10RE2,15,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,14.0,1.390341,u,True
NA10RE2,16,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,15.0,1.2305528,u,True
NA10RE2,17,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,16.0,1.9774113,o,True
NA10RE2,18,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,17.0,1.5420841,o,True
NA10RE2,19,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,18.0,2.0110059,e,True
NA10RE2,20,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,19.0,2.0212183,i,True
NA10RE2,21,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,20.0,1.2744645,i,True
NA10RE2,22,gestures/car_S.mp4,m_ve,o,G,car,1.0,21.0,1.7669902,o,True
NA10RE2,23,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,22.0,1.5686594,e,True
NA10RE2,24,gestures/girl_S.mp4,h_g,u,G,girl,1.0,23.0,2.2401009,u,True
NA10RE2,25,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,24.0,1.7502967,a,True
NA10RE2,26,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,25.0,1.3893037,i,True
NA10RE2,27,gestures/cat_S.mp4,n_se,o,G,cat,1.0,26.0,1.7492167,o,True
NA10RE2,28,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,27.0,2.0570107,i,True
NA10RE2,29,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,28.0,1.488942,a,True
NA10RE2,30,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,29.0,1.8518476,o,True
NA10RE2,31,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,30.0,1.7224424,a,True
NA10RE2,32,gestures/frog_S.mp4,list_n,e,G,frog,1.0,31.0,2.557241,i,False
NA10RE2,33,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,32.0,1.130701,a,True
NA10RE2,34,gestures/car_POS.mp4,whe_l,e,S,car,1.0,33.0,1.4819857,e,True
NA10RE2,35,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,34.0,1.3945198,o,True
NA10RE2,36,gestures/car_POS.mp4,wind_w,o,S,car,1.0,35.0,1.2709857,o,True
NA10RE2,37,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,36.0,2.2691276,e,True
NA10RE2,38,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,37.0,1.5403501,a,True
NA10RE2,39,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,38.0,1.3720697,i,True
NA10RE2,40,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,39.0,1.6018575,u,True
NA10RE2,41,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,40.0,1.4465119,u,True
NA10RE2,42,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,41.0,1.837744,e,True
NA10RE2,43,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,42.0,1.2331691,a,True
NA10RE2,44,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,43.0,2.643239,o,True
NA10RE2,45,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,44.0,1.3148726,i,True
NA10RE2,46,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,45.0,2.2250826,e,True
NA10RE2,47,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,46.0,1.0766921,u,True
NA10RE2,48,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,47.0,1.7948847,e,True
NA10RE2,49,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,48.0,1.1700697,o,True
NA10RE2,50,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,49.0,0.95314825,o,True
NA10RE2,51,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,50.0,2.2789316,o,True
NA10RE2,52,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,51.0,1.3817625,i,True
NA10RE2,53,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,52.0,1.5355222,u,True
NA10RE2,54,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,53.0,1.0886905,i,True
NA10RE2,55,gestures/car_PL.mp4,m_ve,o,S,car,1.0,54.0,1.5170878,o,True
NA10RE2,56,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,55.0,1.0720863,a,True
NA10RE2,57,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,56.0,2.579316,a,True
NA10RE2,58,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,57.0,1.2078878,a,True
NA10RE2,59,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,58.0,1.4319394,i,True
NA10RE2,60,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,59.0,1.3626261,e,True
NA10RE2,61,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,60.0,1.1329533,i,True
NA10RE2,62,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,61.0,0.9550806,i,True
NA10RE2,63,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,62.0,1.3591157,e,True
NA10RE2,64,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,63.0,1.6750228,a,True
