subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
NA36RO2,1,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,0.0,1.2125512,e,True
NA36RO2,2,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,1.0,1.7945087,u,True
NA36RO2,3,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,2.0,1.4693187,i,True
NA36RO2,4,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,3.0,1.3624791,u,True
NA36RO2,5,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,4.0,1.7490509,i,True
NA36RO2,6,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,5.0,1.675247,e,True
NA36RO2,7,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,6.0,3.0839796,u,True
NA36RO2,8,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,7.0,1.4801898,a,True
NA36RO2,9,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,8.0,1.6628618,i,True
NA36RO2,10,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,9.0,1.7176397,a,True
NA36RO2,11,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,10.0,1.6288799,o,True
NA36RO2,12,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,11.0,1.8205435,o,True
NA36RO2,13,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,12.0,2.057297,a,True
NA36RO2,14,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,13.0,2.1303988,i,True
NA36RO2,15,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,14.0,1.3403239,u,True
NA36RO2,16,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,15.0,1.4878591,i,True
NA36RO2,17,gestures/car_PL.mp4,m_ve,o,S,car,1.0,16.0,1.5315906,o,True
NA36RO2,18,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,17.0,1.4103748,e,True
NA36RO2,19,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,18.0,1.4779032,a,True
NA36RO2,20,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,19.0,2.3459244,o,True
NA36RO2,21,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,20.0,1.6272565,e,True
NA36RO2,22,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,21.0,1.2567629,a,True
NA36RO2,23,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,22.0,1.6946583,e,True
NA36RO2,24,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,23.0,1.6061977,i,True
NA36RO2,25,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,24.0,1.4130336,a,True
NA36RO2,26,gestures/car_POS.mp4,whe_l,e,S,car,1.0,25.0,2.8518841,e,True
NA36RO2,27,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,26.0,2.3439608,e,True
NA36RO2,28,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,27.0,1.5973905,i,True
NA36RO2,29,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,28.0,2.076209,a,True
NA36RO2,30,gestures/car_POS.mp4,wind_w,o,S,car,1.0,29.0,1.4873449,o,True
NA36RO2,31,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,30.0,1.5695521,o,True
NA36RO2,32,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,31.0,1.2684917,o,True
NA36RO2,33,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,32.0,1.224178,a,True
NA36RO2,34,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,33.0,1.2382891,u,True
NA36RO2,35,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,34.0,1.8602033,i,True
NA36RO2,36,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,35.0,1.5872041,u,True
NA36RO2,37,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,36.0,1.6714926,o,True
NA36RO2,38,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,37.0,1.5913779,i,True
NA36RO2,39,gestures/car_S.mp4,m_ve,o,G,car,1.0,38.0,1.3961316,o,True
NA36RO2,40,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,39.0,1.1040696,i,True
NA36RO2,41,gestures/girl_S.mp4,h_g,u,G,girl,1.0,40.0,1.6402742,u,True
NA36RO2,42,gestures/car_S.mp4,wind_w,o,G,car,1.0,41.0,1.3560432,o,True
NA36RO2,43,gestures/cat_S.mp4,n_se,o,G,cat,1.0,42.0,1.1319798,o,True
NA36RO2,44,gestures/frog_S.mp4,list_n,e,G,frog,1.0,43.0,1.58984,e,True
NA36RO2,45,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,44.0,1.1838572,e,True
NA36RO2,46,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,45.0,2.0939348,e,True
NA36RO2,47,gestures/car_S.mp4,cr_sh,a,G,car,1.0,46.0,1.6504545,a,True
NA36RO2,48,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,47.0,1.4619981,e,True
NA36RO2,49,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,48.0,1.5968789,i,True
NA36RO2,50,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,49.0,1.5621926,a,True
NA36RO2,51,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,50.0,1.1691265,a,True
NA36RO2,52,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,51.0,2.9163575,i,True
NA36RO2,53,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,52.0,2.552222,a,True
NA36RO2,54,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,53.0,1.3043567,e,True
NA36RO2,55,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,54.0,1.5475442,a,True
NA36RO2,56,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,55.0,2.4346275,o,True
NA36RO2,57,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,56.0,1.2475926,o,True
NA36RO2,58,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,57.0,2.0104527,e,True
NA36RO2,59,gestures/dog_S.mp4,to_th,o,G,dog,1.0,58.0,2.5114503,o,True
NA36RO2,60,gestures/car_S.mp4,whe_l,e,G,car,1.0,59.0,1.5086216,e,True
NA36RO2,61,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,60.0,1.7805353,u,True
NA36RO2,62,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,61.0,1.8153687,i,True
NA36RO2,63,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,62.0,1.511105,i,True
NA36RO2,64,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,63.0,1.789133,a,True
