subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
PE05CA1,1,gestures/car_S.mp4,wind_w,o,G,car,1.0,0.0,4.23446,o,True
PE05CA1,2,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,1.0,2.966768,u,True
PE05CA1,3,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,2.0,1.1947689,u,True
PE05CA1,4,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,3.0,1.9906646,a,True
PE05CA1,5,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,4.0,1.7522751,u,False
PE05CA1,6,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,5.0,3.3253486,o,False
PE05CA1,7,gestures/car_S.mp4,whe_l,e,G,car,1.0,6.0,2.562595,e,True
PE05CA1,8,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,7.0,1.6939013,a,True
PE05CA1,9,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,8.0,1.696976,i,True
PE05CA1,10,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,9.0,3.2508273,e,True
PE05CA1,11,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,10.0,1.5527753,e,True
PE05CA1,12,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,11.0,1.6966096,o,True
PE05CA1,13,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,12.0,1.2294544,o,True
PE05CA1,14,gestures/girl_S.mp4,h_g,u,G,girl,1.0,13.0,1.7738783,a,False
PE05CA1,15,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,14.0,1.6858537,a,True
PE05CA1,16,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,15.0,2.92106,a,False
PE05CA1,17,gestures/car_S.mp4,m_ve,o,G,car,1.0,16.0,1.8407842,o,True
PE05CA1,18,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,17.0,1.2707813,a,True
PE05CA1,19,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,18.0,2.1370997,i,True
PE05CA1,20,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,19.0,2.5837154,e,True
PE05CA1,21,gestures/frog_S.mp4,list_n,e,G,frog,1.0,20.0,3.001622,i,False
PE05CA1,22,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,21.0,7.567253,a,False
