subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
RA28HU1,1,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,0.0,2.422524,e,False
RA28HU1,2,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,1.0,2.0688117,i,True
RA28HU1,3,gestures/car_POS.mp4,wind_w,o,S,car,1.0,2.0,2.0535533,e,False
RA28HU1,4,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,3.0,2.363695,a,True
RA28HU1,5,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,4.0,2.5869918,a,True
RA28HU1,6,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,5.0,1.5873203,o,True
RA28HU1,7,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,6.0,3.1171134,a,True
RA28HU1,8,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,7.0,4.0334277,e,True
RA28HU1,9,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,8.0,1.3349748,o,True
RA28HU1,10,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,9.0,3.1906745,o,False
RA28HU1,11,gestures/car_PL.mp4,m_ve,o,S,car,1.0,10.0,1.7520176,a,False
RA28HU1,12,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,11.0,3.2961307,u,False
RA28HU1,13,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,12.0,5.0605884,o,False
RA28HU1,14,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,13.0,4.7786117,e,True
RA28HU1,15,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,14.0,7.3659196,a,True
RA28HU1,16,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,15.0,3.6444988,a,True
RA28HU1,17,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,16.0,2.881837,e,True
RA28HU1,18,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,17.0,1.7534881,u,False
RA28HU1,19,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,18.0,2.5508807,o,True
RA28HU1,20,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,19.0,2.5025768,a,False
RA28HU1,21,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,20.0,1.442746,i,False
RA28HU1,22,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,21.0,1.4439733,e,False
RA28HU1,23,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,22.0,3.683469,i,False
RA28HU1,24,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,23.0,2.4187422,e,True
RA28HU1,25,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,24.0,1.6506083,a,False
RA28HU1,26,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,25.0,5.5362206,i,False
RA28HU1,27,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,26.0,3.319911,e,False
RA28HU1,28,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,27.0,2.5538945,u,True
RA28HU1,29,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,28.0,3.1810107,o,False
RA28HU1,30,gestures/car_POS.mp4,whe_l,e,S,car,1.0,29.0,2.0906005,e,True
RA28HU1,31,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,30.0,2.9547946,o,True
RA28HU1,32,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,31.0,4.6382484,e,True
RA28HU1,33,gestures/car_S.mp4,wind_w,o,G,car,1.0,32.0,3.8854172,i,False
RA28HU1,34,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,33.0,1.9215553,o,False
RA28HU1,35,gestures/car_S.mp4,m_ve,o,G,car,1.0,34.0,1.6011391,o,True
RA28HU1,36,gestures/car_S.mp4,cr_sh,a,G,car,1.0,35.0,2.2128065,a,True
RA28HU1,37,gestures/frog_S.mp4,list_n,e,G,frog,1.0,36.0,1.7725577,e,True
RA28HU1,38,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,37.0,1.5248739,a,True
RA28HU1,39,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,38.0,2.674863,e,True
RA28HU1,40,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,39.0,3.0623617,i,False
RA28HU1,41,gestures/cat_S.mp4,n_se,o,G,cat,1.0,40.0,1.8519261,o,True
RA28HU1,42,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,41.0,2.4299126,o,False
RA28HU1,43,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,42.0,1.4478132,i,False
RA28HU1,44,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,43.0,1.2774626,o,True
RA28HU1,45,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,44.0,1.2679676,a,True
RA28HU1,46,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,45.0,1.9029946,e,True
RA28HU1,47,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,46.0,1.7596159,a,True
RA28HU1,48,gestures/girl_S.mp4,h_g,u,G,girl,1.0,47.0,1.9511089,e,False
RA28HU1,49,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,48.0,1.6034023,o,True
RA28HU1,50,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,49.0,1.5639449,a,False
RA28HU1,51,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,50.0,1.3761289,i,True
RA28HU1,52,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,51.0,1.2852886,u,True
RA28HU1,53,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,52.0,2.8177938,a,False
RA28HU1,54,gestures/dog_S.mp4,to_th,o,G,dog,1.0,53.0,1.9331819,o,True
RA28HU1,55,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,54.0,2.01232,e,True
RA28HU1,56,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,55.0,3.4336786,a,True
RA28HU1,57,gestures/car_S.mp4,whe_l,e,G,car,1.0,56.0,1.7662348,e,True
RA28HU1,58,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,57.0,1.3942162,e,False
RA28HU1,59,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,58.0,2.2911918,i,True
RA28HU1,60,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,59.0,2.2475483,e,False
RA28HU1,61,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,60.0,1.4132899,o,True
RA28HU1,62,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,61.0,2.8931863,e,True
RA28HU1,63,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,62.0,2.9467037,i,True
RA28HU1,64,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,63.0,1.7911315,i,True
