subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
SA30RO1,1,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,0.0,9.821954,i,True
SA30RO1,2,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,1.0,1.5128546,a,True
SA30RO1,3,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,2.0,2.065569,a,True
SA30RO1,4,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,3.0,1.2911115,a,True
SA30RO1,5,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,4.0,1.6784251,o,True
SA30RO1,6,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,5.0,7.159622,e,True
SA30RO1,7,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,6.0,4.459947,u,True
SA30RO1,8,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,7.0,1.7613982,i,True
SA30RO1,9,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,8.0,1.551507,e,True
SA30RO1,10,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,9.0,15.596657,a,False
SA30RO1,11,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,10.0,1.2802422,i,True
SA30RO1,12,gestures/car_POS.mp4,wind_w,o,S,car,1.0,11.0,1.3400155,o,True
SA30RO1,13,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,12.0,1.6833224,o,True
SA30RO1,14,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,13.0,1.508556,e,True
SA30RO1,15,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,14.0,1.25358,o,True
SA30RO1,16,gestures/car_POS.mp4,whe_l,e,S,car,1.0,15.0,2.4423242,e,True
SA30RO1,17,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,16.0,1.6394707,e,True
SA30RO1,18,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,17.0,1.2748249,a,False
SA30RO1,19,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,18.0,1.125663,a,True
SA30RO1,20,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,19.0,1.240375,o,True
SA30RO1,21,gestures/car_PL.mp4,m_ve,o,S,car,1.0,20.0,1.6950628,o,True
SA30RO1,22,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,21.0,2.2213137,i,True
SA30RO1,23,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,22.0,1.7228684,u,True
SA30RO1,24,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,23.0,5.3463397,a,True
SA30RO1,25,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,24.0,1.7181156,i,True
SA30RO1,26,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,25.0,1.0802505,i,True
SA30RO1,27,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,26.0,2.5444615,e,True
SA30RO1,28,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,27.0,1.3785892,a,True
SA30RO1,29,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,28.0,1.5779854,o,True
SA30RO1,30,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,29.0,1.3982611,i,True
SA30RO1,31,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,30.0,1.3438022,u,True
SA30RO1,32,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,31.0,1.7325957,a,True
SA30RO1,33,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,32.0,1.2978728,i,True
SA30RO1,34,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,33.0,1.4601828,a,True
SA30RO1,35,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,34.0,1.1928421,e,True
SA30RO1,36,gestures/car_S.mp4,whe_l,e,G,car,1.0,35.0,2.634707,e,True
SA30RO1,37,gestures/frog_S.mp4,list_n,e,G,frog,1.0,36.0,1.4193668,e,True
SA30RO1,38,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,37.0,1.108461,i,True
SA30RO1,39,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,38.0,2.2673156,i,True
SA30RO1,40,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,39.0,1.1248884,a,True
SA30RO1,41,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,40.0,1.1830685,a,True
SA30RO1,42,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,41.0,1.2095462,i,True
SA30RO1,43,gestures/dog_S.mp4,to_th,o,G,dog,1.0,42.0,0.9615598,o,True
SA30RO1,44,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,43.0,1.2495294,e,True
SA30RO1,45,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,44.0,1.1391082,o,True
SA30RO1,46,gestures/car_S.mp4,cr_sh,a,G,car,1.0,45.0,1.1291833,a,True
SA30RO1,47,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,46.0,2.3167374,a,True
SA30RO1,48,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,47.0,1.4331381,e,True
SA30RO1,49,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,48.0,1.0998185,o,True
SA30RO1,50,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,49.0,1.0877268,a,True
