subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
SO13CH1,1,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,0.0,1.5801362,i,True
SO13CH1,2,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,1.0,1.6870621,e,True
SO13CH1,3,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,2.0,2.2711835,i,True
SO13CH1,4,gestures/car_S.mp4,cr_sh,a,G,car,1.0,3.0,1.6006218,a,True
SO13CH1,5,gestures/girl_S.mp4,h_g,u,G,girl,1.0,4.0,1.5655646,u,True
SO13CH1,6,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,5.0,2.1547093,a,True
SO13CH1,7,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,6.0,1.9682908,a,False
SO13CH1,8,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,7.0,1.2010993,u,True
SO13CH1,9,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,8.0,1.3863441,i,True
SO13CH1,10,gestures/cat_S.mp4,n_se,o,G,cat,1.0,9.0,1.375204,o,True
SO13CH1,11,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,10.0,1.7202457,u,True
SO13CH1,12,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,11.0,1.6134686,i,True
SO13CH1,13,gestures/car_S.mp4,whe_l,e,G,car,1.0,12.0,1.2501824,e,True
SO13CH1,14,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,13.0,1.195613,o,True
SO13CH1,15,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,14.0,6.82216,i,False
SO13CH1,16,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,15.0,1.2009702,a,True
SO13CH1,17,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,16.0,6.0103974,e,False
SO13CH1,18,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,17.0,1.3345214,e,True
SO13CH1,19,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,18.0,1.6892289,o,True
