subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
SU04DI2,1,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,0.0,1.5217956,o,True
SU04DI2,2,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,1.0,1.4960525,u,True
SU04DI2,3,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,2.0,1.870964,i,True
SU04DI2,4,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,3.0,1.2632712,e,False
SU04DI2,5,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,4.0,1.4446758,i,True
SU04DI2,6,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,5.0,1.2336032,a,True
SU04DI2,7,gestures/car_POS.mp4,wind_w,o,S,car,1.0,6.0,1.2780917,o,True
SU04DI2,8,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,7.0,1.5387019,i,True
SU04DI2,9,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,8.0,1.2650079,a,True
SU04DI2,10,gestures/car_POS.mp4,whe_l,e,S,car,1.0,9.0,1.4195321,e,True
SU04DI2,11,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,10.0,2.0551624,a,True
SU04DI2,12,gestures/car_PL.mp4,m_ve,o,S,car,1.0,11.0,1.8458983,o,True
SU04DI2,13,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,12.0,1.3231621,o,True
SU04DI2,14,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,13.0,1.249913,u,True
SU04DI2,15,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,14.0,1.0967007,o,True
SU04DI2,16,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,15.0,1.1867818,i,True
SU04DI2,17,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,16.0,1.0421954,o,False
SU04DI2,18,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,17.0,1.8985267,e,True
SU04DI2,19,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,18.0,1.4298916,e,True
SU04DI2,20,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,19.0,1.6294974,e,True
SU04DI2,21,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,20.0,1.784017,i,True
SU04DI2,22,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,21.0,1.5536996,o,False
SU04DI2,23,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,22.0,1.2166473,o,True
SU04DI2,24,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,23.0,1.3678677,e,True
SU04DI2,25,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,24.0,1.1999948,e,True
SU04DI2,26,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,25.0,1.6415418,a,False
SU04DI2,27,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,26.0,1.6319196,i,True
SU04DI2,28,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,27.0,1.3670309,a,True
SU04DI2,29,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,28.0,1.6494873,i,True
SU04DI2,30,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,29.0,1.0701795,a,True
SU04DI2,31,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,30.0,1.1481142,e,True
SU04DI2,32,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,31.0,1.4688876,o,True
SU04DI2,33,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,32.0,1.4410722,i,True
SU04DI2,34,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,33.0,1.0953177,e,True
SU04DI2,35,gestures/cat_S.mp4,n_se,o,G,cat,1.0,34.0,1.2228144,o,True
SU04DI2,36,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,35.0,1.3727784,o,False
SU04DI2,37,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,36.0,1.2186091,o,False
SU04DI2,38,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,37.0,1.4298892,a,True
SU04DI2,39,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,38.0,1.0383862,a,True
SU04DI2,40,gestures/car_S.mp4,whe_l,e,G,car,1.0,39.0,1.3328447,e,True
SU04DI2,41,gestures/car_S.mp4,cr_sh,a,G,car,1.0,40.0,1.186532,a,True
SU04DI2,42,gestures/dog_S.mp4,to_th,o,G,dog,1.0,41.0,1.3545109,o,True
SU04DI2,43,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,42.0,1.3159674,e,True
SU04DI2,44,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,43.0,1.1971961,i,True
SU04DI2,45,gestures/car_S.mp4,m_ve,o,G,car,1.0,44.0,0.98138994,o,True
SU04DI2,46,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,45.0,1.1798083,o,True
SU04DI2,47,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,46.0,1.9368507,e,True
SU04DI2,48,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,47.0,1.6800106,a,True
SU04DI2,49,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,48.0,1.1275419,a,True
SU04DI2,50,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,49.0,0.9887615,a,True
SU04DI2,51,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,50.0,1.1744336,i,True
SU04DI2,52,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,51.0,1.0257145,i,True
SU04DI2,53,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,52.0,1.5689625,i,True
SU04DI2,54,gestures/frog_S.mp4,list_n,e,G,frog,1.0,53.0,1.562254,e,True
SU04DI2,55,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,54.0,1.7567589,u,True
SU04DI2,56,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,55.0,0.9702644,i,True
SU04DI2,57,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,56.0,1.0884506,o,True
SU04DI2,58,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,57.0,1.5808313,e,True
SU04DI2,59,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,58.0,1.188621,i,True
SU04DI2,60,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,59.0,1.5957389,u,True
SU04DI2,61,gestures/car_S.mp4,wind_w,o,G,car,1.0,60.0,1.0102754,o,True
SU04DI2,62,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,61.0,1.822864,e,True
SU04DI2,63,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,62.0,1.3189669,o,True
SU04DI2,64,gestures/girl_S.mp4,h_g,u,G,girl,1.0,63.0,2.2800417,u,True
