subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
TA36CE1,1,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,0.0,1.6605402,a,False
TA36CE1,2,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,1.0,1.42925,a,True
TA36CE1,3,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,2.0,1.8016434,e,True
TA36CE1,4,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,3.0,1.4500521,a,True
TA36CE1,5,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,4.0,1.1137182,a,True
TA36CE1,6,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,5.0,1.2279844,o,False
TA36CE1,7,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,6.0,1.8154843,a,False
TA36CE1,8,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,7.0,2.3013327,a,False
TA36CE1,9,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,8.0,1.6885849,o,True
TA36CE1,10,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,9.0,1.3307198,o,True
TA36CE1,11,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,10.0,1.4418687,o,False
TA36CE1,12,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,11.0,1.7110103,a,False
TA36CE1,13,gestures/car_PL.mp4,m_ve,o,S,car,1.0,12.0,1.310405,o,True
TA36CE1,14,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,13.0,1.4707114,i,True
TA36CE1,15,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,14.0,1.0564088,a,True
TA36CE1,16,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,15.0,1.2933019,a,True
TA36CE1,17,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,16.0,1.5709437,a,False
TA36CE1,18,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,17.0,1.3519576,a,False
TA36CE1,19,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,18.0,4.2010937,a,False
TA36CE1,20,gestures/car_POS.mp4,whe_l,e,S,car,1.0,19.0,1.954306,e,True
TA36CE1,21,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,20.0,1.0452957,o,True
TA36CE1,22,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,21.0,2.127342,o,False
TA36CE1,23,gestures/car_POS.mp4,wind_w,o,S,car,1.0,22.0,1.1942172,o,True
TA36CE1,24,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,23.0,1.165219,e,True
TA36CE1,25,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,24.0,1.2570007,o,False
TA36CE1,26,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,25.0,2.2429051,i,True
TA36CE1,27,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,26.0,2.138055,a,False
TA36CE1,28,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,27.0,0.99590576,o,True
TA36CE1,29,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,28.0,1.3643754,o,False
TA36CE1,30,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,29.0,1.2480509,a,False
TA36CE1,31,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,30.0,1.6039351,a,True
TA36CE1,32,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,31.0,1.6184008,a,False
TA36CE1,33,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,32.0,1.0296187,a,True
TA36CE1,34,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,33.0,0.9643541,o,True
TA36CE1,35,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,34.0,1.1146246,a,True
TA36CE1,36,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,35.0,1.2647692,i,True
TA36CE1,37,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,36.0,1.1252851,o,True
TA36CE1,38,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,37.0,1.2465897,e,True
TA36CE1,39,gestures/dog_S.mp4,to_th,o,G,dog,1.0,38.0,1.2187204,o,True
TA36CE1,40,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,39.0,1.5799729,e,True
TA36CE1,41,gestures/frog_S.mp4,list_n,e,G,frog,1.0,40.0,2.4578958,e,True
TA36CE1,42,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,41.0,1.3808111,e,False
TA36CE1,43,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,42.0,1.0217924,o,False
TA36CE1,44,gestures/car_S.mp4,wind_w,o,G,car,1.0,43.0,1.1109208,o,True
TA36CE1,45,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,44.0,1.1025527,a,True
TA36CE1,46,gestures/girl_S.mp4,h_g,u,G,girl,1.0,45.0,1.9176955,e,False
TA36CE1,47,gestures/car_S.mp4,whe_l,e,G,car,1.0,46.0,1.0128284,e,True
TA36CE1,48,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,47.0,1.0722249,o,False
TA36CE1,49,gestures/cat_S.mp4,n_se,o,G,cat,1.0,48.0,1.0429733,o,True
TA36CE1,50,gestures/car_S.mp4,m_ve,o,G,car,1.0,49.0,1.2065877,a,False
TA36CE1,51,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,50.0,1.5884929,i,True
TA36CE1,52,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,51.0,1.2563708,u,True
TA36CE1,53,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,52.0,1.0361911,o,True
TA36CE1,54,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,53.0,1.0761787,i,True
TA36CE1,55,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,54.0,1.5534866,i,True
TA36CE1,56,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,55.0,1.5619396,o,False
TA36CE1,57,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,56.0,1.5075811,a,False
TA36CE1,58,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,57.0,1.1953133,i,True
TA36CE1,59,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,58.0,1.579058,i,True
TA36CE1,60,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,59.0,2.665982,o,False
TA36CE1,61,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,60.0,1.2580999,a,True
TA36CE1,62,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,61.0,1.2072023,a,True
TA36CE1,63,gestures/car_S.mp4,cr_sh,a,G,car,1.0,62.0,1.3856772,a,True
TA36CE1,64,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,63.0,0.9843263,a,False
