subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
TA36CEN2,1,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,0.0,1.1729572,e,True
TA36CEN2,2,gestures/car_S.mp4,wind_w,o,G,car,1.0,1.0,0.9562629,o,True
TA36CEN2,3,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,2.0,0.7123059,e,True
TA36CEN2,4,gestures/car_S.mp4,cr_sh,a,G,car,1.0,3.0,1.2601086,a,True
TA36CEN2,5,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,4.0,1.108589,i,True
TA36CEN2,6,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,5.0,0.9617638,i,True
TA36CEN2,7,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,6.0,1.0811083,a,True
TA36CEN2,8,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,7.0,1.7242894,u,True
TA36CEN2,9,gestures/frog_S.mp4,list_n,e,G,frog,1.0,8.0,1.9030551,e,True
TA36CEN2,10,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,9.0,0.9946496,a,True
TA36CEN2,11,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,10.0,0.9728711,e,True
TA36CEN2,12,gestures/cat_S.mp4,n_se,o,G,cat,1.0,11.0,1.3251702,o,True
TA36CEN2,13,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,12.0,1.7151546,i,True
TA36CEN2,14,gestures/car_S.mp4,m_ve,o,G,car,1.0,13.0,1.8496518,o,True
TA36CEN2,15,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,14.0,1.1847426,i,True
TA36CEN2,16,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,15.0,1.3068715,a,True
TA36CEN2,17,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,16.0,1.232297,e,True
TA36CEN2,18,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,17.0,1.1602026,a,True
TA36CEN2,19,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,18.0,1.4502523,a,True
TA36CEN2,20,gestures/car_S.mp4,whe_l,e,G,car,1.0,19.0,1.1682969,e,True
TA36CEN2,21,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,20.0,1.1819093,o,True
TA36CEN2,22,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,21.0,1.163094,o,True
TA36CEN2,23,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,22.0,1.0409042,e,True
TA36CEN2,24,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,23.0,1.4851903,u,True
TA36CEN2,25,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,24.0,1.2329289,i,True
TA36CEN2,26,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,25.0,1.3621789,o,True
TA36CEN2,27,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,26.0,1.100994,i,True
TA36CEN2,28,gestures/dog_S.mp4,to_th,o,G,dog,1.0,27.0,1.1173502,o,True
TA36CEN2,29,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,28.0,1.1498404,u,True
TA36CEN2,30,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,29.0,1.2739496,a,True
TA36CEN2,31,gestures/girl_S.mp4,h_g,u,G,girl,1.0,30.0,1.0858374,u,True
TA36CEN2,32,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,31.0,1.226509,i,True
TA36CEN2,33,gestures/frog_PL.mp4,list_n,e,S,frog,0.0,--,--,--,--
TA36CEN2,34,gestures/horse_PL.mp4,w_lk,a,S,horse,0.0,--,--,--,--
TA36CEN2,35,gestures/boy_PL.mp4,po_nt,i,S,boy,0.0,--,--,--,--
TA36CEN2,36,gestures/car_PL.mp4,cr_sh,a,S,car,0.0,--,--,--,--
TA36CEN2,37,gestures/girl_POS.mp4,ha_r,i,S,girl,0.0,--,--,--,--
TA36CEN2,38,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,0.0,--,--,--,--
