subject,TrialNumber,gestures,target,corrAns,condition,gestureSet,ran,order,RT,answer,correct
VE18IV1,1,gestures/baby_S.mp4,sm_le,i,G,baby,1.0,0.0,3.6633508,i,True
VE18IV1,2,gestures/boy_S.mp4,t-sh_rt,i,G,boy,1.0,1.0,1.8590597,i,True
VE18IV1,3,gestures/frog_S.mp4,tong_e,u,G,frog,1.0,2.0,5.767841,i,False
VE18IV1,4,gestures/car_S.mp4,whe_l,e,G,car,1.0,3.0,7.322437,e,True
VE18IV1,5,gestures/horse_S.mp4,h_ad,e,G,horse,1.0,4.0,3.519509,a,False
VE18IV1,6,gestures/cat_S.mp4,lo_k,o,G,cat,1.0,5.0,6.7086463,o,True
VE18IV1,7,gestures/boy_S.mp4,w_ve,a,G,boy,1.0,6.0,2.0434628,a,True
VE18IV1,8,gestures/girl_S.mp4,h_g,u,G,girl,1.0,7.0,4.610183,a,False
VE18IV1,9,gestures/girl_S.mp4,wh_stle,i,G,girl,1.0,8.0,6.678247,i,True
VE18IV1,10,gestures/cat_S.mp4,n_se,o,G,cat,1.0,9.0,2.7856417,o,True
VE18IV1,11,gestures/horse_S.mp4,mo_th,u,G,horse,1.0,10.0,2.4769206,u,True
VE18IV1,12,gestures/frog_S.mp4,j_mp,u,G,frog,1.0,11.0,1.5446286,u,True
VE18IV1,13,gestures/cat_S.mp4,sl_ep,e,G,cat,1.0,12.0,4.2047505,e,True
VE18IV1,14,gestures/car_S.mp4,m_ve,o,G,car,1.0,13.0,1.8169315,o,True
VE18IV1,15,gestures/car_S.mp4,wind_w,o,G,car,1.0,14.0,1.6178843,o,True
VE18IV1,16,gestures/girl_S.mp4,ha_r,i,G,girl,1.0,15.0,1.2812791,e,False
VE18IV1,17,gestures/dog_S.mp4,b_rk,a,G,dog,1.0,16.0,2.171896,o,False
VE18IV1,18,gestures/baby_S.mp4,t_ddy,e,G,baby,1.0,17.0,1.5629659,a,False
VE18IV1,19,gestures/boy_S.mp4,bo_k,o,G,boy,1.0,18.0,1.9155302,o,True
VE18IV1,20,gestures/horse_S.mp4,k_ck,i,G,horse,1.0,19.0,2.4984734,i,True
VE18IV1,21,gestures/car_S.mp4,cr_sh,a,G,car,1.0,20.0,1.4367408,a,True
VE18IV1,22,gestures/boy_S.mp4,po_nt,i,G,boy,1.0,21.0,2.0309567,i,True
VE18IV1,23,gestures/dog_S.mp4,to_th,o,G,dog,1.0,22.0,1.9734082,o,True
VE18IV1,24,gestures/dog_S.mp4,n_ck,e,G,dog,1.0,23.0,1.4968821,a,False
VE18IV1,25,gestures/baby_S.mp4,bl_nket,a,G,baby,1.0,24.0,1.7289087,a,True
VE18IV1,26,gestures/horse_S.mp4,w_lk,a,G,horse,1.0,25.0,1.3050277,a,True
VE18IV1,27,gestures/girl_S.mp4,dr_ss,e,G,girl,1.0,26.0,2.2166827,e,True
VE18IV1,28,gestures/baby_S.mp4,cr_wl,a,G,baby,1.0,27.0,2.7721481,a,True
VE18IV1,29,gestures/frog_S.mp4,list_n,e,G,frog,1.0,28.0,2.2675056,i,False
VE18IV1,30,gestures/frog_S.mp4,fo_t,o,G,frog,1.0,29.0,2.5580184,o,True
VE18IV1,31,gestures/dog_S.mp4,pl_y,a,G,dog,1.0,30.0,1.4820253,a,True
VE18IV1,32,gestures/cat_S.mp4,ta_l,i,G,cat,1.0,31.0,2.9805768,i,True
VE18IV1,33,gestures/dog_PL.mp4,b_rk,a,S,dog,1.0,32.0,3.3499446,e,False
VE18IV1,34,gestures/boy_PL.mp4,w_ve,a,S,boy,1.0,33.0,2.267527,e,False
VE18IV1,35,gestures/car_POS.mp4,wind_w,o,S,car,1.0,34.0,1.9811996,o,True
VE18IV1,36,gestures/cat_PL.mp4,sl_ep,e,S,cat,1.0,35.0,1.8608156,e,True
VE18IV1,37,gestures/car_POS.mp4,whe_l,e,S,car,1.0,36.0,4.007776,e,True
VE18IV1,38,gestures/girl_PL.mp4,h_g,u,S,girl,1.0,37.0,1.2260417,a,False
VE18IV1,39,gestures/dog_POS.mp4,to_th,o,S,dog,1.0,38.0,1.6723491,o,True
VE18IV1,40,gestures/baby_PL.mp4,sm_le,i,S,baby,1.0,39.0,2.4422457,i,True
VE18IV1,41,gestures/horse_POS.mp4,h_ad,e,S,horse,1.0,40.0,2.896588,e,True
VE18IV1,42,gestures/girl_PL.mp4,wh_stle,i,S,girl,1.0,41.0,1.8682307,i,True
VE18IV1,43,gestures/baby_POS.mp4,bl_nket,a,S,baby,1.0,42.0,1.3090115,a,True
VE18IV1,44,gestures/car_PL.mp4,m_ve,o,S,car,1.0,43.0,2.0404012,o,True
VE18IV1,45,gestures/frog_PL.mp4,list_n,e,S,frog,1.0,44.0,2.1218936,i,False
VE18IV1,46,gestures/boy_POS.mp4,t-sh_rt,i,S,boy,1.0,45.0,1.7056437,i,True
VE18IV1,47,gestures/horse_PL.mp4,k_ck,i,S,horse,1.0,46.0,1.7249411,i,True
VE18IV1,48,gestures/car_PL.mp4,cr_sh,a,S,car,1.0,47.0,4.3572745,a,True
VE18IV1,49,gestures/baby_PL.mp4,cr_wl,a,S,baby,1.0,48.0,1.8334655,a,True
VE18IV1,50,gestures/horse_PL.mp4,w_lk,a,S,horse,1.0,49.0,1.7115736,a,True
VE18IV1,51,gestures/cat_POS.mp4,n_se,o,S,cat,1.0,50.0,3.6228502,o,True
VE18IV1,52,gestures/cat_PL.mp4,lo_k,o,S,cat,1.0,51.0,1.6408095,o,True
VE18IV1,53,gestures/boy_POS.mp4,bo_k,o,S,boy,1.0,52.0,1.6565008,o,True
VE18IV1,54,gestures/girl_POS.mp4,dr_ss,e,S,girl,1.0,53.0,1.9617261,e,True
VE18IV1,55,gestures/horse_POS.mp4,mo_th,u,S,horse,1.0,54.0,1.8270558,u,True
VE18IV1,56,gestures/cat_POS.mp4,ta_l,i,S,cat,1.0,55.0,1.9478433,i,True
VE18IV1,57,gestures/baby_POS.mp4,t_ddy,e,S,baby,1.0,56.0,2.1970165,e,True
VE18IV1,58,gestures/girl_POS.mp4,ha_r,i,S,girl,1.0,57.0,1.7909175,i,True
VE18IV1,59,gestures/boy_PL.mp4,po_nt,i,S,boy,1.0,58.0,1.5461438,i,True
VE18IV1,60,gestures/dog_POS.mp4,n_ck,e,S,dog,1.0,59.0,1.827141,e,True
VE18IV1,61,gestures/frog_POS.mp4,fo_t,o,S,frog,1.0,60.0,3.9254396,o,True
VE18IV1,62,gestures/frog_PL.mp4,j_mp,u,S,frog,1.0,61.0,1.7005247,u,True
VE18IV1,63,gestures/dog_PL.mp4,pl_y,a,S,dog,1.0,62.0,1.4593202,a,True
VE18IV1,64,gestures/frog_POS.mp4,tong_e,u,S,frog,1.0,63.0,4.9076905,u,True
